Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
81,100,2,600,0.050379,0.109336,0.339422,0.045634,0.109729,0.095624,0.069996,0.085615,0.069652,0.079258,0.072174,0.084462,0.080204,0.091231,0.080228,0.085806
101,100,2,600,0.076313,0.192913,0.5692,0.07994,0.105424,0.118927,0.104858,0.122683,0.104699,0.129361,0.115883,0.126965,0.108003,0.128722,0.112418,0.143772
1,100,2,600,0.01635,0.000212,0.003797,0.000133,0.004737,0.001372,0.004771,0.00207,0.004576,0.000169,0.0038,0.000118,0.00335,0.001096,0.003438,0.000651
21,100,2,600,0.271285,0.036177,0.013439,0.003279,0.005134,0.004672,0.005105,0.003901,0.005957,0.004511,0.007305,0.004416,0.008766,0.006526,0.007784,0.004459
41,100,2,600,0.276954,0.090968,0.034472,0.012171,0.010561,0.013462,0.011166,0.01305,0.010877,0.012168,0.011721,0.011744,0.010965,0.013812,0.010929,0.013058
61,100,2,600,0.329509,0.178016,0.063021,0.026926,0.023993,0.028164,0.022657,0.02839,0.023207,0.02692,0.022865,0.027219,0.023103,0.029426,0.027148,0.031821
81,100,2,600,0.377894,0.34334,0.152792,0.052384,0.046621,0.059286,0.049743,0.064141,0.081089,0.079393,0.063285,0.063498,0.051526,0.078111,0.039126,0.050333
101,100,2,600,0.562951,0.580944,0.244361,0.084002,0.066364,0.087515,0.067489,0.086167,0.063503,0.075575,0.063533,0.079897,0.078645,0.09903,0.083498,0.099537
1,100,2,600,0.009473,0.000164,0.003517,0.00013,0.002976,0.000953,0.004852,0.000554,0.002949,0.000111,0.00339,0.000111,0.003003,0.00103,0.002958,0.000605
21,100,2,600,0.244367,0.027318,0.012124,0.00474,0.006068,0.005047,0.006054,0.004186,0.004912,0.003496,0.005305,0.003236,0.004817,0.004551,0.004837,0.003875
41,100,2,600,0.208548,0.070622,0.038747,0.011428,0.011413,0.013703,0.01156,0.012675,0.011063,0.012238,0.01135,0.012341,0.011287,0.013471,0.011328,0.012938
61,100,2,600,0.238477,0.154349,0.081896,0.026784,0.022896,0.02874,0.022573,0.027868,0.022252,0.026665,0.022499,0.026511,0.022048,0.028459,0.026712,0.031947
81,100,2,600,0.367558,0.340886,0.118852,0.051192,0.078203,0.07274,0.077431,0.081293,0.080916,0.078094,0.042851,0.05028,0.077922,0.07057,0.041458,0.052245
101,100,2,600,0.437635,0.507006,0.178296,0.07804,0.06253,0.082563,0.066914,0.085752,0.066359,0.080972,0.060588,0.079905,0.081405,0.098454,0.081821,0.098904
1,100,2,600,0.004497,9e-05,0.002992,9e-05,0.001794,0.002865,0.002346,0.00048,0.001819,7.4e-05,0.002206,7.9e-05,0.001784,0.000569,0.001826,0.00037
21,100,2,600,0.004521,0.005173,0.046724,0.004444,0.009686,0.00492,0.006676,0.004765,0.005745,0.004555,0.006093,0.004523,0.008146,0.005709,0.006548,0.004042
41,100,2,600,0.007083,0.013859,0.177065,0.015977,0.020078,0.016856,0.013257,0.014437,0.027966,0.020774,0.010913,0.012244,0.010981,0.012225,0.010433,0.012608
61,100,2,600,0.007341,0.0238,0.246132,0.025598,0.022294,0.028091,0.022656,0.030648,0.023366,0.02698,0.022839,0.027125,0.022897,0.028169,0.021885,0.02753
81,100,2,600,0.010917,0.042813,0.366632,0.046431,0.040756,0.062758,0.047607,0.057702,0.047518,0.05533,0.047091,0.054988,0.045178,0.058403,0.067394,0.055091
101,100,2,600,0.022228,0.083182,0.976358,0.087894,0.064637,0.075692,0.058989,0.078531,0.057845,0.07399,0.05697,0.072746,0.056511,0.076244,0.056325,0.075936
1,100,2,600,0.014395,0.000164,0.002559,9.5e-05,0.004036,0.001624,0.003953,0.000249,0.004667,0.000152,0.003902,0.000112,0.003542,0.000338,0.003525,0.000237
21,100,2,600,0.085881,0.015054,0.015468,0.003556,0.005742,0.00487,0.005955,0.004301,0.005538,0.003745,0.006544,0.003679,0.006183,0.004591,0.005962,0.004314
41,100,2,600,0.104388,0.062093,0.053577,0.014829,0.016821,0.01694,0.016571,0.01668,0.033398,0.029067,0.025814,0.018724,0.018773,0.014133,0.011407,0.013153
61,100,2,600,0.164946,0.15083,0.122518,0.042365,0.031463,0.03957,0.038093,0.044758,0.053233,0.043256,0.038062,0.040491,0.026621,0.040861,0.030933,0.03836
