Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
81,100,0.112026,0.316906,0.560949,0.104926,0.071553,0.110707,0.073297,0.109484,0.071612,0.105136,0.076045,0.102965,0.071238,0.111159,0.071592,0.108516
101,100,0.136124,0.484549,1.01451,0.168697,0.108557,0.169543,0.105654,0.170598,0.105912,0.162878,0.106018,0.162946,0.1068,0.171866,0.106483,0.170009
1,100,0.00726,0.000177,0.004783,0.000179,0.005947,0.001174,0.003384,0.000669,0.003417,0.000154,0.00443,0.000153,0.003401,0.001244,0.003342,0.000768
21,100,0.092725,0.025645,0.053719,0.00745,0.009074,0.008154,0.008891,0.007571,0.008505,0.00717,0.009478,0.007203,0.008545,0.008308,0.008661,0.007832
41,100,0.069979,0.078374,0.189166,0.026478,0.021787,0.027169,0.021202,0.027276,0.020854,0.026535,0.021694,0.02654,0.021214,0.028874,0.020805,0.028161
61,100,0.023749,0.0907,0.283413,0.058998,0.043942,0.05976,0.043114,0.061053,0.042774,0.059758,0.044696,0.057273,0.042005,0.061634,0.043566,0.061234
81,100,0.033345,0.158131,0.657722,0.105888,0.07213,0.110398,0.073588,0.108966,0.072173,0.10581,0.072904,0.105877,0.071904,0.110554,0.071585,0.110272
101,100,0.041765,0.241523,1.18744,0.172403,0.107095,0.171854,0.107134,0.171036,0.109458,0.159395,0.106816,0.163608,0.105786,0.170629,0.106669,0.169326
1,100,0.006489,0.000185,0.004631,0.000182,0.003099,0.000993,0.003137,0.002941,0.003131,0.000155,0.003852,0.000156,0.003143,0.001065,0.003132,0.000672
21,100,0.00671,0.007166,0.088898,0.00732,0.008351,0.008281,0.008307,0.007713,0.00834,0.007567,0.009423,0.00735,0.008576,0.008277,0.008855,0.008156
41,100,0.008667,0.027601,0.187642,0.028501,0.02282,0.029705,0.02159,0.031219,0.021183,0.026603,0.023319,0.027789,0.021604,0.028807,0.021591,0.02913
61,100,0.011961,0.060884,0.314809,0.061206,0.04382,0.063865,0.044248,0.064052,0.044346,0.061108,0.044316,0.061048,0.044194,0.064249,0.044208,0.063021
81,100,0.016629,0.107391,0.829669,0.108998,0.074616,0.113354,0.072838,0.113435,0.072645,0.108658,0.074732,0.108072,0.074157,0.113583,0.072681,0.112833
101,100,0.021644,0.164126,0.950695,0.177725,0.108104,0.174453,0.113409,0.168301,0.108697,0.167421,0.108931,0.166895,0.108049,0.173914,0.112461,0.170134
1,100,0.015785,0.000249,0.00602,0.000285,0.005142,0.001329,0.005874,0.0008,0.005142,0.000232,0.007551,0.000228,0.005214,0.001481,0.005185,0.000925
