Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.061616,0.000372,0.069467,0.000178,0.062737,0.000166,0.062855,0.000189,0.075958,0.000157,0.024495,0.002557,0.025661,0.001949,0.032943,0.002433,0.025399,0.002383,0.024895,0.000141,0.023468,0.000206,0.024114,0.000139,0.026297,0.002487,0.02728,0.001754
21,90,2,600,0.153933,0.02156,0.179696,0.010104,0.156298,0.011478,0.328092,0.013595,0.142684,0.006327,0.214518,0.023861,0.1837,0.022037,0.048505,0.033927,0.049201,0.040943,0.04791,0.012278,0.195275,0.030903,0.067559,0.012499,0.055096,0.040766,0.048387,0.041325
41,90,2,600,0.180606,0.073857,0.212763,0.038843,0.177056,0.038441,0.58183,0.054275,0.143169,0.022335,0.850416,0.077017,0.724082,0.059413,0.062888,0.103379,0.061983,0.106143,0.062352,0.039861,0.109617,0.0527,0.085256,0.039376,0.063501,0.111353,0.061527,0.088438
61,90,2,600,0.193546,0.148055,0.207466,0.076681,0.189129,0.076795,1.84915,0.187104,0.137861,0.047563,2.7319,0.152386,1.8402,0.14563,0.08617,0.201538,0.087304,0.195223,0.087434,0.080092,0.144996,0.110682,0.105318,0.080767,0.087111,0.188344,0.08591,0.190471
81,90,2,600,0.133519,0.202712,0.148089,0.102546,0.132015,0.102335,0.869057,0.241956,0.285538,0.104998,3.3115,0.232483,2.88208,0.235137,0.12539,0.352659,0.122541,0.309486,0.114768,0.139161,0.184487,0.187009,0.134864,0.137115,0.115383,0.321167,0.116853,0.273338
101,90,2,600,0.13872,0.305455,0.153914,0.153956,0.136528,0.155548,1.363,0.434419,0.20226,0.155647,8.80372,0.301951,5.27469,0.308478,0.167596,0.48418,0.157106,0.486501,0.169379,0.213585,0.230933,0.289466,0.175941,0.214928,0.165826,0.469213,0.156884,0.48582
1,90,2,600,0.072105,0.000305,0.073771,0.000179,0.063372,0.000199,0.067551,0.000149,0.082164,0.000176,0.045278,0.003049,0.049202,0.002247,0.038234,0.004257,0.040732,0.003762,0.043292,0.000264,0.046422,0.000256,0.048614,0.000263,0.038774,0.004531,0.039664,0.003125
21,90,2,600,4.03842,0.079859,4.73182,0.041152,4.25167,0.041677,4.47694,0.041636,7.87622,0.041192,0.146622,0.020634,0.145273,0.024418,0.036782,0.027435,0.038273,0.029631,0.036812,0.00711,0.036993,0.00825,0.043781,0.009225,0.036021,0.027147,0.036912,0.027126
41,90,2,600,4.94268,0.262106,5.16858,0.141073,4.94714,0.140111,4.64382,0.143066,8.31408,0.124751,0.355781,0.087359,0.292269,0.077968,0.04758,0.074587,0.049153,0.070912,0.043111,0.026198,0.047051,0.025616,0.053019,0.025954,0.04789,0.063367,0.046947,0.064151
61,90,2,600,5.36631,0.545765,5.30036,0.280065,5.10639,0.283808,5.39658,0.280848,9.7398,0.265879,0.570577,0.152488,0.556231,0.144897,0.057956,0.1321,0.061975,0.127474,0.057886,0.052805,0.058603,0.05131,0.067475,0.051531,0.057149,0.149845,0.059053,0.126969
