Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1500,500,0.005351,0.000885,0.004754,0.000301,0.004416,2.0831
11,100,500,500,0.006005,0.003492,0.004938,0.001765,0.005498,1.94755
11,100,1000,500,0.006007,0.003058,0.005558,0.001665,0.005414,1.98944
11,100,1500,500,0.006194,0.003418,0.005487,0.001755,0.005087,1.94823
21,100,500,500,0.008834,0.006589,0.008305,0.005366,0.007503,1.94417
21,100,1000,500,0.008682,0.006453,0.008272,0.005352,0.00724,1.94923
21,100,1500,500,0.009825,0.006688,0.008601,0.004848,0.008119,1.97093
31,100,500,500,0.014368,0.012987,0.011632,0.011472,0.012889,1.94311
31,100,1000,500,0.013631,0.011664,0.010542,0.010333,0.011662,1.94391
31,100,1500,500,0.014256,0.01172,0.010651,0.010411,0.011668,1.9396
41,100,500,500,0.017643,0.021994,0.01666,0.022051,0.01708,2.10885
41,100,1000,500,0.019196,0.026858,0.022963,0.024149,0.016721,2.09991
41,100,1500,500,0.019885,0.022672,0.018443,0.023786,0.016141,2.04375
51,100,500,500,0.02384,0.03413,0.024089,0.027313,0.02299,1.95862
51,100,1000,500,0.025782,0.033493,0.022617,0.02994,0.023353,1.97564
51,100,1500,500,0.023827,0.034027,0.023382,0.028383,0.023278,1.96198
61,100,500,500,0.032059,0.044692,0.029209,0.038592,0.030098,1.98338
61,100,1000,500,0.03397,0.044398,0.029231,0.038609,0.030422,1.96704
61,100,1500,500,0.033376,0.041072,0.029702,0.038629,0.030299,1.96572
71,100,500,500,0.037262,0.05554,0.036062,0.049443,0.037166,1.99339
71,100,1000,500,0.041872,0.057507,0.035953,0.050553,0.03761,1.99275
71,100,1500,500,0.042498,0.054928,0.037156,0.05125,0.038554,2.00068
81,100,500,500,0.046233,0.069361,0.04919,0.060207,0.044945,1.99787
81,100,1000,500,0.048511,0.068126,0.04412,0.072838,0.044229,2.01609
81,100,1500,500,0.049327,0.064661,0.045842,0.063112,0.045862,1.99232
91,100,500,500,0.056136,0.08277,0.05224,0.078343,0.052115,1.99796
91,100,1000,500,0.055286,0.083875,0.051275,0.078907,0.052744,2.03245
91,100,1500,500,0.057975,0.082697,0.051962,0.080371,0.053834,2.00887
1,100,500,500,0.003307,0.000691,0.002521,0.00017,0.002612,1.93975
1,100,1000,500,0.003362,0.000802,0.002577,0.000161,0.002712,1.96629
1,100,1500,500,0.002858,0.000821,0.002654,0.00015,0.00266,1.96472
11,100,500,500,0.006904,0.003815,0.009182,0.002614,0.005383,2.87084
11,100,1000,500,0.007002,0.004523,0.009246,0.002906,0.00542,2.8715
11,100,1500,500,0.007697,0.003836,0.008832,0.002844,0.00529,2.86667
21,100,500,500,0.023149,0.01756,0.017193,0.007538,0.018149,4.80073
21,100,1000,500,0.023739,0.01827,0.015589,0.010952,0.018413,5.07565
21,100,1500,500,0.025297,0.016923,0.016034,0.008014,0.018577,4.84215
31,100,500,500,0.020983,0.018494,0.021418,0.018857,0.016107,2.87524
31,100,1000,500,0.019503,0.018513,0.021578,0.017149,0.015827,2.89172
31,100,1500,500,0.018397,0.018922,0.021419,0.016823,0.015708,2.87631
41,100,500,500,0.036691,0.048296,0.02838,0.031851,0.035935,3.84865
41,100,1000,500,0.045374,0.055139,0.028154,0.033043,0.033915,3.84281
41,100,1500,500,0.035435,0.047842,0.028217,0.026742,0.034784,3.84713
51,100,500,500,0.060609,0.092131,0.039175,0.045783,0.06016,4.8769
51,100,1000,500,0.061147,0.084868,0.038555,0.045745,0.06044,4.80258
51,100,1500,500,0.061522,0.087111,0.042771,0.05677,0.062002,4.82289
61,100,500,500,0.064778,0.085815,0.048427,0.06379,0.061417,3.8688
61,100,1000,500,0.06367,0.086474,0.049025,0.068611,0.063539,3.90986
61,100,1500,500,0.063413,0.092668,0.048623,0.060105,0.061096,3.89551
71,100,500,500,0.105128,0.142264,0.059445,0.076471,0.102729,4.92123
71,100,1000,500,0.104532,0.145233,0.058832,0.078614,0.102844,4.92245
71,100,1500,500,0.102771,0.14318,0.062552,0.078578,0.102946,4.88557
81,100,500,500,0.12332,0.174875,0.07493,0.098754,0.125493,4.95139
81,100,1000,500,0.125472,0.177347,0.070695,0.100244,0.121762,4.93427
81,100,1500,500,0.127672,0.178901,0.072148,0.09902,0.122976,4.96515
91,100,500,500,0.152962,0.217965,0.086376,0.121601,0.158749,4.9869
91,100,1000,500,0.150401,0.216865,0.092434,0.125496,0.150254,4.96258
91,100,1500,500,0.150497,0.219966,0.086503,0.122435,0.146808,5.00745
1,100,500,500,0.00806,0.001116,0.004062,0.000286,0.004193,2.91528
1,100,1000,500,0.005681,0.001339,0.005416,0.000362,0.004832,2.92733
1,100,1500,500,0.004908,0.001155,0.005401,0.000255,0.004573,2.90935
11,100,500,500,0.006417,0.002976,0.005595,0.001766,0.006096,0.973545
11,100,1000,500,0.00583,0.002714,0.00545,0.001992,0.006687,0.966916
11,100,1500,500,0.00787,0.002821,0.005378,0.001865,0.005781,0.972775
21,100,500,500,0.01069,0.008588,0.009651,0.004299,0.008412,1.94313
21,100,1000,500,0.010824,0.006632,0.008478,0.006318,0.014059,1.96968
21,100,1500,500,0.009578,0.006988,0.011018,0.004474,0.007434,1.92732
31,100,500,500,0.014012,0.012875,0.010785,0.01194,0.0123,1.92929
31,100,1000,500,0.012217,0.013509,0.010302,0.009896,0.010815,1.93252
31,100,1500,500,0.013638,0.01298,0.010369,0.009563,0.010612,1.93045
41,100,500,500,0.017615,0.022297,0.023021,0.029581,0.023374,1.94951
41,100,1000,500,0.01758,0.025185,0.015728,0.018788,0.017845,1.94849
41,100,1500,500,0.017932,0.023793,0.016029,0.018233,0.01677,1.94673
51,100,500,500,0.023901,0.032999,0.021748,0.029599,0.022651,1.9494
51,100,1000,500,0.024228,0.033767,0.032129,0.043495,0.024438,1.94811
51,100,1500,500,0.024238,0.033335,0.022889,0.032045,0.02657,1.94722
61,100,500,500,0.032683,0.042768,0.02853,0.037838,0.030722,1.96176
61,100,1000,500,0.031487,0.04463,0.027914,0.0389,0.029973,1.98167
61,100,1500,500,0.030746,0.043775,0.028719,0.038459,0.030387,1.96651
71,100,500,500,0.039759,0.054807,0.035606,0.050184,0.037706,2.0023
