Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
61,90,2,600,0.012404,0.047607,0.977249,0.051146,0.447072,0.051206,0.041095,0.053607,0.043166,0.050005,0.040848,0.049722,0.041894,0.050003,0.041271,0.053653,0.040352,0.052448
81,90,2,600,0.016622,0.080615,1.66524,0.084451,0.947752,0.084195,0.064461,0.085262,0.063852,0.088634,0.063612,0.083768,0.063067,0.083275,0.062732,0.088171,0.062538,0.087404
101,90,2,600,0.021741,0.121932,1.39122,0.137879,1.42635,0.120757,0.100522,0.128537,0.094803,0.13376,0.094994,0.125926,0.095547,0.127,0.095144,0.133231,0.100053,0.126039
1,90,2,600,0.026335,0.000312,0.004082,0.000147,0.003759,0.000143,0.006762,0.001455,0.005202,0.00074,0.006668,0.000243,0.006017,0.000197,0.006681,0.001747,0.004867,0.000716
21,90,2,600,0.271505,0.03654,0.046422,0.005944,0.047956,0.005628,0.007974,0.007013,0.008356,0.006233,0.007832,0.005347,0.008593,0.005328,0.007595,0.007107,0.007797,0.006444
41,90,2,600,0.312434,0.135743,0.214448,0.023285,0.341438,0.023243,0.021294,0.024963,0.021168,0.025913,0.020542,0.021213,0.021344,0.021496,0.021408,0.024457,0.021003,0.023834
61,90,2,600,0.418017,0.330835,0.353276,0.049735,0.3632,0.049137,0.041267,0.053502,0.041418,0.057355,0.04043,0.048583,0.041406,0.048124,0.040325,0.052485,0.040415,0.052386
81,90,2,600,0.387006,0.518551,0.533941,0.083079,0.470054,0.083,0.062297,0.089231,0.064261,0.088953,0.064587,0.082936,0.065188,0.081883,0.063612,0.088137,0.062321,0.087258
101,90,2,600,0.536995,0.852514,1.18988,0.135604,0.954481,0.122457,0.095945,0.136315,0.097032,0.134302,0.09646,0.126952,0.103332,0.1195,0.09772,0.131711,0.102677,0.12656
1,90,2,600,0.02699,0.000304,0.003738,0.00015,0.003716,0.000141,0.007148,0.001554,0.005393,0.000761,0.007228,0.000265,0.005898,0.000184,0.0072,0.001747,0.005328,0.000742
