Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,20,0.016243,0.000167,0.002864,9.9e-05,0.005117,0.000174,0.005124,0.001271,0.005126,0.01614
1,20,0.009294,0.000125,0.004215,0.000149,0.005561,0.000171,0.005563,0.001164,0.005571,0.015909
1,20,0.01591,0.000167,0.003009,9.9e-05,0.005537,0.000173,0.005543,0.001564,0.003008,0.008399
1,20,0.009378,0.000131,0.001993,9.5e-05,0.002032,8.2e-05,0.00198,0.000344,0.001987,0.001348
1,20,0.009565,0.000123,0.003852,0.000147,0.003652,0.000125,0.003652,0.000867,0.003661,0.011913
1,20,0.016934,0.000166,0.002869,9.8e-05,0.0053,0.000171,0.005263,0.001236,0.005318,0.01606
1,20,0.009008,0.000125,0.002186,9.5e-05,0.002201,8.1e-05,0.002161,0.000572,0.002164,0.00608
1,20,0.009874,0.000123,0.004298,0.000149,0.003923,0.000126,0.003941,0.000942,0.003939,0.012097
1,20,0.00856,0.000123,0.001982,9.5e-05,0.002011,8.1e-05,0.001985,0.000652,0.001998,0.008004
1,20,0.009221,0.000122,0.002016,9.6e-05,0.002048,8.9e-05,0.002022,0.000647,0.002036,0.006231
1,20,0.009806,0.000123,0.003952,0.000148,0.003783,0.000124,0.003773,0.000431,0.003952,0.002193
1,20,0.016867,0.000172,0.002846,9.7e-05,0.006278,0.000169,0.0063,0.000228,0.002908,0.000192
1,20,0.004454,8.3e-05,0.002943,9.7e-05,0.002052,8.1e-05,0.002043,0.000762,0.002072,0.008321
1,20,0.008324,0.000124,0.002191,9.5e-05,0.002219,9.1e-05,0.002231,0.000514,0.002241,0.004743
1,20,0.008407,0.000123,0.003988,0.000149,0.003499,0.000126,0.003497,0.000963,0.003997,0.004786
1,20,0.015863,0.000166,0.003154,0.0001,0.006373,0.000174,0.006256,0.001403,0.003134,0.007155
1,20,0.009125,0.000123,0.002034,9.5e-05,0.002072,8.1e-05,0.002029,0.000755,0.002014,0.008157
1,20,0.017188,0.000166,0.00315,9.8e-05,0.005266,0.00018,0.005384,0.001365,0.005228,0.01626
1,20,0.004011,8.2e-05,0.003013,9.7e-05,0.002021,8.3e-05,0.002029,0.000663,0.002104,0.008116
1,20,0.016888,0.000165,0.004015,0.000147,0.005478,0.000174,0.005482,0.001198,0.00553,0.015902
