Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
11,80,9,1200,0.008389,0.004915,0.007901,0.01335
11,80,9,1300,0.008172,0.004933,0.00989,0.01566
11,80,9,1400,0.00966,0.005191,0.010092,0.016864
11,80,11,100,0.008477,0.004157,0.008125,0.005017
11,80,11,200,0.008557,0.003457,0.008991,0.005667
11,80,11,300,0.010408,0.005297,0.008932,0.006883
11,80,11,400,0.008794,0.003657,0.008315,0.008256
11,80,11,500,0.008282,0.004265,0.008423,0.009214
11,80,11,600,0.008675,0.004347,0.010444,0.010625
11,80,11,700,0.008818,0.005746,0.008884,0.01298
11,80,11,800,0.00881,0.005546,0.008823,0.01341
11,80,11,900,0.009192,0.004692,0.00849,0.014785
11,80,11,1000,0.008928,0.005524,0.009692,0.015471
11,80,11,1100,0.00911,0.004723,0.008695,0.017526
11,80,11,1200,0.009753,0.006558,0.009307,0.020152
11,80,11,1300,0.008346,0.005261,0.009317,0.020106
11,80,11,1400,0.008569,0.005008,0.008195,0.020517
11,90,3,100,0.008339,0.00354,0.008632,0.004501
11,90,3,200,0.008414,0.003503,0.007946,0.003731
11,90,3,300,0.008632,0.004338,0.008157,0.004291
11,90,3,400,0.008313,0.004352,0.008296,0.004249
11,90,3,500,0.008067,0.00422,0.008975,0.005564
11,90,3,600,0.008832,0.004944,0.009939,0.004337
11,90,3,700,0.008976,0.00412,0.007756,0.005516
11,90,3,800,0.00854,0.004233,0.00859,0.004802
11,90,3,900,0.008448,0.004427,0.008899,0.005084
11,90,3,1000,0.00952,0.004486,0.007929,0.006257
11,90,3,1100,0.008857,0.004805,0.010159,0.006878
11,90,3,1200,0.008978,0.004684,0.008269,0.005542
11,90,3,1300,0.00813,0.004881,0.008185,0.00627
11,90,3,1400,0.008375,0.005279,0.008272,0.005776
11,90,5,100,0.009414,0.003328,0.009123,0.003296
11,90,5,200,0.00852,0.003262,0.008175,0.003676
11,90,5,300,0.008236,0.003668,0.008263,0.004131
11,90,5,400,0.00942,0.003864,0.008409,0.004802
11,90,5,500,0.008145,0.00384,0.008399,0.004801
11,90,5,600,0.008328,0.004678,0.008818,0.00526
11,90,5,700,0.008582,0.004083,0.008453,0.006046
11,90,5,800,0.008425,0.005226,0.009042,0.005792
11,90,5,900,0.008925,0.004396,0.008513,0.005961
11,90,5,1000,0.008342,0.0046,0.008557,0.008128
11,90,5,1100,0.008613,0.004521,0.008184,0.007854
11,90,5,1200,0.008263,0.005564,0.010436,0.006985
11,90,5,1300,0.00819,0.006523,0.009725,0.007205
11,90,5,1400,0.009007,0.006668,0.00939,0.008687
11,90,7,100,0.008068,0.003407,0.008353,0.003876
11,90,7,200,0.009338,0.004201,0.008079,0.004203
11,90,7,300,0.009378,0.003549,0.008985,0.004658
11,90,7,400,0.008415,0.00525,0.008549,0.005611
11,90,7,500,0.008862,0.003809,0.008721,0.005685
11,90,7,600,0.008955,0.003849,0.008899,0.00696
11,90,7,700,0.00865,0.00429,0.009978,0.008941
11,90,7,800,0.014246,0.008954,0.014476,0.014659
11,90,7,900,0.014684,0.009126,0.013672,0.015476
11,90,7,1000,0.014305,0.009835,0.014899,0.016144
11,90,7,1100,0.010012,0.00471,0.008841,0.009553
11,90,7,1200,0.009084,0.008343,0.009394,0.010851
11,90,7,1300,0.009649,0.005342,0.01007,0.010413
11,90,7,1400,0.009893,0.00514,0.010441,0.013342
11,90,9,100,0.008184,0.0048,0.011067,0.006173
11,90,9,200,0.00923,0.00468,0.009397,0.005908
11,90,9,300,0.010147,0.0037,0.008234,0.006077
11,90,9,400,0.008625,0.003798,0.008608,0.006491
11,90,9,500,0.008369,0.003909,0.008189,0.007368
11,90,9,600,0.008474,0.00442,0.008599,0.008549
11,90,9,700,0.008421,0.004729,0.008475,0.008905
11,90,9,800,0.008316,0.004551,0.008915,0.009807
11,90,9,900,0.008397,0.00461,0.008836,0.011719
11,90,9,1000,0.008907,0.004436,0.009709,0.011956
11,90,9,1100,0.008978,0.004757,0.010581,0.014918
11,90,9,1200,0.008509,0.005813,0.009907,0.014733
11,90,9,1300,0.008601,0.007029,0.0096,0.016356
11,90,9,1400,0.009951,0.008568,0.010218,0.016925
11,90,11,100,0.008487,0.003813,0.008629,0.00484
11,90,11,200,0.008785,0.003938,0.008568,0.005873
11,90,11,300,0.009112,0.004056,0.008656,0.007313
11,90,11,400,0.009088,0.004224,0.008951,0.008772
11,90,11,500,0.010061,0.005266,0.00839,0.010932
11,90,11,600,0.009422,0.003958,0.010335,0.012367
11,90,11,700,0.009517,0.005508,0.008319,0.014765
11,90,11,800,0.009448,0.004215,0.009977,0.016135
11,90,11,900,0.008906,0.004409,0.010041,0.015162
11,90,11,1000,0.010786,0.005332,0.013287,0.021221
11,90,11,1100,0.011179,0.007981,0.00993,0.020111
11,90,11,1200,0.011441,0.008882,0.012562,0.030213
11,90,11,1300,0.009977,0.005946,0.009069,0.02214
11,90,11,1400,0.008023,0.005455,0.009037,0.021812
11,100,3,100,0.008779,0.003176,0.009098,0.00319
