Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
11,90,5,1300,0.006083,0.005875,0.006043,0.003661
11,90,5,1400,0.007755,0.005907,0.007392,0.004677
11,90,7,100,0.004733,0.003399,0.004816,0.001802
11,90,7,200,0.005481,0.00294,0.004359,0.002309
11,90,7,300,0.005761,0.003055,0.006668,0.003076
11,90,7,400,0.004271,0.003251,0.005646,0.002905
11,90,7,500,0.006946,0.003605,0.004552,0.003119
11,90,7,600,0.004982,0.003609,0.006683,0.003002
11,90,7,700,0.007124,0.005083,0.004312,0.002831
11,90,7,800,0.006436,0.004967,0.005303,0.003287
11,90,7,900,0.006381,0.005838,0.004338,0.003473
11,90,7,1000,0.005052,0.005117,0.005226,0.004353
11,90,7,1100,0.00667,0.005611,0.004706,0.005929
11,90,7,1200,0.004111,0.006505,0.005275,0.003436
11,90,7,1300,0.004695,0.008686,0.006042,0.003818
11,90,7,1400,0.006111,0.007604,0.004677,0.006358
11,90,9,100,0.003886,0.00217,0.005717,0.002712
11,90,9,200,0.009046,0.005585,0.010296,0.0063
11,90,9,300,0.00648,0.003817,0.005783,0.002281
11,90,9,400,0.005172,0.003594,0.004197,0.003405
11,90,9,500,0.003916,0.00377,0.005194,0.003005
11,90,9,600,0.003995,0.006069,0.003895,0.00277
11,90,9,700,0.005334,0.005423,0.004164,0.00498
11,90,9,800,0.00383,0.005366,0.00591,0.00394
11,90,9,900,0.005544,0.006,0.004282,0.005209
11,90,9,1000,0.003853,0.0066,0.005361,0.003721
11,90,9,1100,0.005515,0.007269,0.006095,0.004791
11,90,9,1200,0.004824,0.009599,0.004257,0.005301
11,90,9,1300,0.003888,0.011018,0.008638,0.008228
11,90,9,1400,0.005279,0.017523,0.007626,0.011274
11,90,11,100,0.005163,0.004867,0.004225,0.002175
11,90,11,200,0.004565,0.00346,0.004905,0.002669
11,90,11,300,0.00445,0.003476,0.005031,0.003101
