Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,60,0.011281,0.000179,0.002858,0.000218,0.002753,0.002039,0.002895,0.000837,0.002264,0.000138,0.002196,0.000107,0.002826,0.006408,0.002266,0.002207
1,60,0.013177,0.000213,0.002398,0.00014,0.002485,0.002597,0.003124,0.000745,0.003281,0.000138,0.002241,0.00011,0.002479,0.005308,0.002641,0.002467
1,60,0.004571,0.00013,0.004192,0.000137,0.003172,0.002068,0.00292,0.000892,0.002348,8.9e-05,0.003013,0.000126,0.00348,0.004409,0.002788,0.00221
1,60,0.011956,0.000251,0.002169,0.000132,0.002057,0.001715,0.003126,0.001788,0.003236,0.000139,0.00278,0.000108,0.002107,0.003923,0.003451,0.003486
1,60,0.006075,0.000162,0.004116,0.000339,0.003492,0.00281,0.002448,0.000904,0.002384,0.000204,0.003981,0.000187,0.003671,0.004174,0.002313,0.002404
1,60,0.013541,0.00029,0.002739,0.000252,0.003076,0.002741,0.003062,0.000996,0.002267,0.000127,0.002383,0.000167,0.002912,0.005339,0.002964,0.002333
1,60,0.005206,0.000165,0.004715,0.00021,0.003021,0.001781,0.002395,0.000976,0.004127,0.000158,0.004055,0.000256,0.002774,0.003323,0.003161,0.003759
1,60,0.012429,0.000233,0.005879,0.00038,0.004142,0.001734,0.005203,0.000987,0.004385,0.00021,0.003854,0.000288,0.005229,0.005156,0.004617,0.001983
1,60,0.006845,0.000132,0.004332,0.000144,0.002486,0.001583,0.002927,0.001376,0.003691,0.000161,0.003954,0.000126,0.00243,0.003488,0.003556,0.004864
1,60,0.012034,0.000203,0.005608,0.000285,0.004148,0.004293,0.005713,0.001738,0.003508,0.000218,0.005804,0.000224,0.004367,0.006722,0.005509,0.005245
1,60,0.024142,0.000377,0.004465,0.000181,0.006494,0.003985,0.008214,0.002722,0.006817,0.000453,0.006889,0.00025,0.007144,0.009837,0.007279,0.006774
1,60,0.013036,0.000227,0.003217,0.000233,0.00227,0.001731,0.002971,0.001258,0.003674,0.000147,0.003111,0.000161,0.002357,0.002824,0.003281,0.003913
1,80,0.011883,0.000286,0.003487,0.000183,0.003024,0.002,0.002167,0.000738,0.002441,0.000246,0.003457,0.000189,0.003357,0.003596,0.002216,0.00191
1,80,0.013322,0.000391,0.002042,0.000159,0.002672,0.003054,0.00282,0.001282,0.002418,0.000108,0.001974,0.000179,0.003583,0.005193,0.002555,0.002949
1,80,0.013589,0.000298,0.004174,0.000242,0.005043,0.003505,0.005041,0.001283,0.00359,0.000284,0.006125,0.000245,0.004189,0.005284,0.006191,0.003883
1,80,0.013274,0.000305,0.005111,0.000221,0.005425,0.00363,0.004349,0.001496,0.003464,0.000217,0.006403,0.000215,0.004553,0.004942,0.005605,0.00554
1,80,0.023621,0.000485,0.006242,0.000452,0.005073,0.003904,0.006026,0.001515,0.005872,0.000341,0.006378,0.00028,0.004925,0.005324,0.006389,0.00368
1,80,0.012341,0.000254,0.00294,0.000145,0.002226,0.001119,0.002777,0.001072,0.00388,0.000184,0.003286,0.000116,0.002373,0.001902,0.002621,0.002418
1,80,0.006772,0.000158,0.003202,0.000139,0.002178,0.002918,0.003589,0.001183,0.002729,0.000112,0.00244,0.000118,0.002801,0.005864,0.002637,0.003158
