Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
31,100,1,0.632455,0.137908,0.016586,0.013134,0.023154,0.016632,0.026161,0.020907
41,100,1,0.616115,0.215212,0.039233,0.034925,0.025972,0.022576,0.043831,0.040393
51,100,1,0.587204,0.313438,0.041522,0.042353,0.056326,0.047822,0.042251,0.052103
61,100,1,0.745067,0.479868,0.062297,0.072947,0.060783,0.062181,0.073044,0.072035
71,100,1,0.692081,0.616911,0.076986,0.119436,0.080437,0.098199,0.084433,0.102596
81,100,1,0.91547,0.872052,0.10786,0.096552,0.086771,0.120533,0.132037,0.120937
91,100,1,0.829085,0.951022,0.107852,0.170736,0.112942,0.109165,0.155322,0.142501
101,100,1,1.00332,1.22454,0.126744,0.21134,0.124022,0.188768,0.140962,0.21697
1,100,1,0.015473,0.000252,0.004429,0.000194,0.003917,0.000149,0.003819,0.000177
11,100,1,0.84744,0.018474,0.01164,0.002745,0.010812,0.002618,0.010468,0.002865
21,100,1,0.860895,0.074339,0.011732,0.008211,0.01065,0.006301,0.010869,0.00682
31,100,1,1.88095,0.152124,0.023497,0.019848,0.019504,0.013909,0.016812,0.014131
41,100,1,1.56467,0.302743,0.035041,0.034314,0.028567,0.025276,0.042956,0.040779
51,100,1,0.956096,0.426815,0.039889,0.046849,0.051521,0.048623,0.035205,0.037995
61,100,1,1.24285,0.575372,0.06594,0.068063,0.0568,0.064067,0.046942,0.064899
71,100,1,1.17991,0.729566,0.069082,0.096563,0.080621,0.08702,0.08549,0.091036
81,100,1,2.56798,1.00071,0.116347,0.149067,0.130822,0.093889,0.095526,0.159504
91,100,1,1.58509,1.40419,0.10645,0.150329,0.136095,0.114929,0.156213,0.144389
101,100,1,1.53032,1.57743,0.154656,0.215305,0.186507,0.164408,0.149531,0.186097
1,100,1,0.018809,0.000309,0.003925,0.000212,0.003169,0.000118,0.002876,0.000132
11,100,1,0.049671,0.005223,0.005633,0.001797,0.005653,0.001585,0.005416,0.001707
21,100,1,0.056932,0.01966,0.011446,0.007231,0.011682,0.006613,0.010906,0.006495
31,100,1,0.063436,0.040095,0.019036,0.016991,0.026857,0.019182,0.022445,0.01841
41,100,1,0.082718,0.078817,0.037425,0.033589,0.025329,0.024883,0.044454,0.033415
51,100,1,0.048484,0.081621,0.052411,0.053713,0.038818,0.039297,0.054277,0.063731
61,100,1,0.065311,0.121451,0.061007,0.073072,0.059247,0.070334,0.070002,0.072097
71,100,1,0.07405,0.172828,0.076085,0.090612,0.078047,0.096549,0.073384,0.108143
81,100,1,0.077146,0.226116,0.10857,0.119008,0.094146,0.114203,0.113118,0.140574
91,100,1,0.102174,0.25414,0.149523,0.165589,0.124995,0.1613,0.09669,0.160563
101,100,1,0.157646,0.380955,0.126417,0.198654,0.145274,0.187809,0.168309,0.20185
1,100,1,0.021771,0.000506,0.006244,0.000285,0.004734,0.000184,0.004319,0.000204
11,100,1,0.728694,0.018962,0.012825,0.00289,0.010996,0.002652,0.010951,0.002625
21,100,1,0.65472,0.065715,0.010289,0.006169,0.010716,0.005681,0.011378,0.006359
31,100,1,0.773784,0.141599,0.024009,0.020792,0.022152,0.01589,0.017281,0.014099
41,100,1,0.810128,0.259289,0.02827,0.028796,0.042024,0.036141,0.030397,0.030999
51,100,1,0.84817,0.398089,0.052263,0.053047,0.050324,0.052477,0.043519,0.051399
61,100,1,0.90313,0.583174,0.068065,0.073681,0.072368,0.069669,0.078746,0.073606
71,100,1,0.932629,0.777176,0.08025,0.097388,0.088491,0.075759,0.086198,0.095025
81,100,1,0.999532,0.992802,0.08863,0.140552,0.11094,0.108834,0.085387,0.129616
