Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
101,90,2,600,0.045974,0.237509,0.052916,0.122938,0.606602,0.117998,0.521083,0.116466,0.119532,0.195021,0.117266,0.190939,0.117797,0.187357,0.119609,0.189423,0.117056,0.196811,0.119634,0.196442
1,90,2,600,0.014252,0.000395,0.017928,0.000229,0.005923,0.000362,0.005676,0.000377,0.003859,0.001166,0.005921,0.001001,0.005204,0.000282,0.00413,0.000247,0.006715,0.002991,0.004466,0.000972
21,90,2,600,0.405031,0.051667,1.14539,0.024722,0.032086,0.007475,0.032836,0.007152,0.010107,0.008415,0.009473,0.008822,0.009502,0.007057,0.010623,0.006924,0.009277,0.012576,0.008367,0.007871
41,90,2,600,0.249807,0.155348,0.851031,0.089349,0.094555,0.028064,0.086556,0.029106,0.017337,0.030331,0.016959,0.032178,0.01653,0.027413,0.017336,0.027749,0.016761,0.030625,0.016684,0.03021
61,90,2,600,0.311867,0.324038,0.787572,0.19035,0.17011,0.052493,0.159362,0.045634,0.03458,0.048364,0.03451,0.046942,0.033549,0.046391,0.032891,0.047089,0.032613,0.050903,0.032164,0.050221
81,90,2,600,0.339085,0.529804,0.860601,0.320269,0.29712,0.090713,0.280036,0.086986,0.057538,0.097854,0.068996,0.095149,0.057548,0.089891,0.064516,0.094485,0.056989,0.094424,0.057918,0.094051
101,90,2,600,0.358454,0.789694,0.944567,0.455283,0.383015,0.120125,0.341234,0.120793,0.079024,0.123085,0.07904,0.123921,0.07417,0.117332,0.073926,0.118357,0.072881,0.124995,0.073237,0.124545
1,90,2,600,0.014544,0.000333,0.017687,0.000179,0.005112,0.00025,0.005198,0.000228,0.004814,0.001671,0.005857,0.000796,0.003991,0.000178,0.005953,0.000332,0.004674,0.001832,0.004861,0.001135
21,90,2,600,1.2343,0.074875,3.04841,0.03675,0.024488,0.007413,0.022822,0.005296,0.00959,0.008536,0.008244,0.00781,0.008174,0.008479,0.008476,0.006043,0.007581,0.009708,0.008518,0.007278
41,90,2,600,1.19782,0.29347,3.032,0.158883,0.050816,0.027539,0.049935,0.028561,0.01696,0.030804,0.017247,0.029435,0.017288,0.028006,0.017197,0.028283,0.016891,0.030328,0.017683,0.02964
61,90,2,600,1.2719,0.55167,2.81697,0.314578,0.100397,0.048005,0.081886,0.048935,0.03553,0.055679,0.03311,0.050662,0.032856,0.047979,0.032702,0.047495,0.031978,0.050323,0.031928,0.049936
81,90,2,600,1.22816,0.889104,3.38367,0.473532,0.136693,0.078838,0.144234,0.079615,0.050974,0.08353,0.054097,0.078942,0.050686,0.082028,0.050298,0.079621,0.050717,0.081996,0.050889,0.081941
101,90,2,600,1.30158,1.31279,3.39943,0.714614,0.220667,0.123041,0.190117,0.113008,0.075068,0.123149,0.075151,0.124287,0.076295,0.119,0.074186,0.121574,0.074482,0.123034,0.075469,0.123741
1,90,2,600,0.006752,0.000269,0.007271,0.000153,0.003503,0.00015,0.004525,0.000286,0.002852,0.001053,0.003782,0.000934,0.002837,0.000138,0.004096,0.000144,0.002835,0.001356,0.003717,0.000798
21,90,2,600,0.00653,0.008271,0.007554,0.003719,0.06971,0.007856,0.062932,0.007227,0.0098,0.010171,0.009463,0.006904,0.010662,0.006534,0.009919,0.006691,0.010423,0.007309,0.008815,0.007802
41,90,2,600,0.009107,0.022976,0.00996,0.012648,0.149463,0.028414,0.126081,0.028455,0.016991,0.028684,0.016475,0.029903,0.016648,0.028309,0.017282,0.027823,0.016595,0.030902,0.020317,0.030695
61,90,2,600,0.009365,0.050328,0.017675,0.028612,0.248835,0.047485,0.190707,0.049153,0.031811,0.049748,0.033189,0.050068,0.031833,0.047418,0.032371,0.048066,0.032648,0.049202,0.031532,0.04874
81,90,2,600,0.012635,0.08565,0.02232,0.041365,0.397221,0.080651,0.359052,0.079284,0.051263,0.08124,0.051655,0.078973,0.051198,0.077118,0.050971,0.080053,0.050276,0.087466,0.051085,0.082298
101,90,2,600,0.016583,0.122388,0.026198,0.060717,0.613715,0.120016,0.501323,0.112118,0.081103,0.119987,0.073675,0.122255,0.074256,0.122684,0.07838,0.119718,0.07396,0.123443,0.077636,0.123576
1,90,2,600,0.005814,0.00017,0.005561,9.7e-05,0.005441,0.000235,0.004115,0.000187,0.002394,0.000917,0.002743,0.000595,0.003927,0.000276,0.004348,0.000189,0.002384,0.000942,0.002535,0.00062
21,90,2,600,0.00677,0.008305,0.006644,0.003307,0.079344,0.006998,0.055977,0.007173,0.009495,0.006381,0.012413,0.00823,0.00696,0.007137,0.009769,0.007293,0.006521,0.007298,0.010975,0.006054
41,90,2,600,0.010481,0.024611,0.016094,0.011317,0.150827,0.024422,0.144776,0.028194,0.016702,0.029921,0.016594,0.030998,0.016371,0.027383,0.017342,0.027609,0.016097,0.029872,0.016941,0.028897
61,90,2,600,0.009257,0.050793,0.014613,0.028057,0.258761,0.048617,0.196688,0.047348,0.031192,0.049666,0.030832,0.049801,0.031072,0.047682,0.033583,0.04675,0.032567,0.052787,0.031664,0.049475
81,90,2,600,0.011961,0.085527,0.021585,0.044274,0.388516,0.086248,0.349051,0.083382,0.05187,0.07951,0.050314,0.082495,0.050334,0.083115,0.050621,0.079258,0.051268,0.080492,0.051171,0.080772
101,90,2,600,0.015578,0.125449,0.027512,0.061963,0.575729,0.1195,0.47893,0.121378,0.07292,0.128051,0.07935,0.115291,0.073325,0.118336,0.092312,0.162955,0.116064,0.207307,0.102005,0.16925
1,90,2,600,0.022578,0.000672,0.025622,0.000214,0.012445,0.000529,0.007766,0.000596,0.008107,0.001026,0.004609,0.000449,0.008921,0.000394,0.012026,0.000376,0.009254,0.001031,0.014285,0.001143
21,90,2,600,0.156983,0.042787,0.314072,0.020875,0.116934,0.010503,0.072016,0.011426,0.016797,0.016754,0.011537,0.010356,0.019964,0.01558,0.015467,0.00867,0.009331,0.016722,0.008952,0.010118
41,90,2,600,0.18172,0.171454,0.362547,0.092394,0.188844,0.038169,0.170323,0.030835,0.02293,0.043673,0.024991,0.040252,0.025088,0.045274,0.031284,0.046049,0.022415,0.043109,0.031518,0.029114
61,90,2,600,0.162387,0.305139,0.240576,0.182077,0.276231,0.068563,0.235977,0.071435,0.044923,0.06555,0.046049,0.063384,0.045465,0.066456,0.043377,0.064991,0.051866,0.069761,0.043434,0.071849
81,90,2,600,0.157203,0.45774,0.229061,0.247065,0.391963,0.117535,0.356043,0.106633,0.073488,0.106801,0.068258,0.11552,0.067863,0.10463,0.069,0.105085,0.084196,0.107185,0.076203,0.107429
101,90,2,600,0.224936,0.717648,0.215927,0.388172,0.529475,0.167392,0.428911,0.150959,0.094769,0.165828,0.097241,0.16026,0.104422,0.15299,0.113148,0.147608,0.094571,0.170485,0.090805,0.156957
1,90,2,600,0.031797,0.000679,0.040632,0.000546,0.005426,0.000266,0.003478,0.000157,0.014054,0.003477,0.010283,0.001676,0.010823,0.000627,0.012812,0.000505,0.009786,0.002992,0.007099,0.001438
21,90,2,600,0.544747,0.074629,1.05992,0.038785,0.067481,0.016588,0.049768,0.011471,0.010624,0.010526,0.01211,0.013139,0.009787,0.009523,0.011583,0.009485,0.013558,0.014302,0.013004,0.009943
41,90,2,600,0.443158,0.248665,1.91379,0.138216,0.135379,0.037019,0.147165,0.038988,0.025872,0.035336,0.024993,0.040938,0.022785,0.036363,0.030689,0.033857,0.034711,0.033207,0.030567,0.036697
61,90,2,600,0.558437,0.499772,1.16415,0.263161,0.231031,0.067546,0.216557,0.059783,0.047942,0.069982,0.051715,0.074159,0.043169,0.065386,0.043509,0.063474,0.050766,0.071352,0.046649,0.071834
81,90,2,600,0.482181,0.781291,0.857421,0.474811,0.319631,0.113759,0.298439,0.099262,0.080794,0.1073,0.063155,0.108122,0.063078,0.112343,0.074206,0.101991,0.066255,0.108716,0.064578,0.11118
101,90,2,600,0.557949,1.105,1.0845,0.664541,0.449857,0.15692,0.432982,0.1483,0.09768,0.163806,0.100353,0.167856,0.097272,0.157316,0.10181,0.151061,0.092612,0.168142,0.099986,0.160324
1,90,2,600,0.035503,0.000608,0.040094,0.000353,0.005609,0.000326,0.006219,0.00036,0.007108,0.001681,0.007546,0.000842,0.007808,0.000223,0.006796,0.000337,0.008819,0.001665,0.007481,0.001215
21,90,2,600,0.246941,0.057348,0.450723,0.022341,0.073641,0.015756,0.045075,0.013702,0.010764,0.008918,0.009448,0.016066,0.013558,0.010615,0.014885,0.007463,0.007719,0.008315,0.012577,0.011727
41,90,2,600,0.317806,0.209184,0.795322,0.10136,0.148942,0.033856,0.181154,0.036815,0.02971,0.033758,0.02592,0.032626,0.021596,0.033849,0.024437,0.038934,0.038308,0.034197,0.02303,0.041936
61,90,2,600,0.409989,0.425753,0.639938,0.200928,0.254922,0.074221,0.199913,0.072564,0.050722,0.072048,0.04863,0.073472,0.049384,0.066465,0.053382,0.061449,0.039199,0.074507,0.043953,0.06638
81,90,2,600,0.297012,0.610058,0.601206,0.347645,0.359104,0.104734,0.313358,0.113894,0.064038,0.114271,0.062826,0.119004,0.071861,0.101379,0.072173,0.108217,0.05892,0.118625,0.077224,0.106224
101,90,2,600,0.354163,0.863514,0.547,0.513896,0.553192,0.151874,0.46334,0.161368,0.111785,0.157097,0.103308,0.153675,0.089759,0.168729,0.099493,0.14744,0.094622,0.166362,0.114069,0.15633
1,90,2,600,0.026378,0.000557,0.020056,0.000254,0.00877,0.000317,0.00987,0.00051,0.010371,0.003231,0.007414,0.001472,0.005991,0.00033,0.008641,0.000398,0.006156,0.003127,0.005535,0.001134
