Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
71,90,0.074552,0.083002,0.075004,0.089439
71,90,0.074404,0.088537,0.072723,0.094518
71,90,0.074293,0.088951,0.043859,0.063634
71,90,0.062323,0.081287,0.072324,0.087815
71,90,0.073979,0.088281,0.073897,0.095586
71,90,0.074445,0.085653,0.07619,0.091703
71,90,0.072435,0.084738,0.041017,0.066339
71,90,0.072299,0.086137,0.074823,0.093219
71,100,0.073851,0.088764,0.074566,0.088064
71,100,0.083156,0.075602,0.075225,0.089052
71,100,0.067871,0.083872,0.05736,0.064464
71,100,0.069314,0.069712,0.07168,0.085508
71,100,0.074934,0.088563,0.075613,0.086254
71,100,0.076433,0.101729,0.07398,0.092568
71,100,0.06663,0.065109,0.049419,0.066579
71,100,0.064325,0.089308,0.073935,0.103183
71,100,0.075995,0.090072,0.07498,0.087948
71,100,0.074358,0.086923,0.073314,0.101568
71,100,0.047224,0.059688,0.056253,0.069692
71,100,0.078399,0.086199,0.071987,0.093953
71,100,0.0726,0.089479,0.076379,0.089724
71,100,0.08036,0.081236,0.073535,0.092346
71,100,0.047767,0.054497,0.068451,0.096222
81,80,0.089776,0.110675,0.09464,0.111003
81,80,0.09667,0.107914,0.093679,0.113344
81,80,0.06765,0.080687,0.058845,0.106774
81,80,0.084143,0.107065,0.095165,0.113916
81,80,0.100395,0.106399,0.093429,0.116106
81,80,0.089319,0.08954,0.069861,0.084239
81,80,0.090791,0.10117,0.093838,0.113183
81,80,0.103537,0.098388,0.09546,0.11385
81,80,0.087431,0.106364,0.07072,0.083142
81,80,0.093277,0.110083,0.091391,0.112696
81,80,0.094462,0.109828,0.098682,0.111522
81,80,0.092088,0.108861,0.067446,0.088365
81,80,0.092094,0.113057,0.098828,0.107173
81,80,0.102738,0.102979,0.095038,0.117877
81,80,0.098447,0.102752,0.069065,0.09206
81,90,0.096355,0.113371,0.093584,0.11063
81,90,0.094911,0.111971,0.093973,0.11489
81,90,0.101995,0.096183,0.069537,0.085591
81,90,0.09434,0.118259,0.092501,0.109623
81,90,0.094575,0.110587,0.094699,0.115221
81,90,0.096404,0.107715,0.071511,0.082864
81,90,0.081144,0.113631,0.091353,0.112258
81,90,0.10677,0.099732,0.095966,0.115554
81,90,0.095039,0.112703,0.070736,0.087978
81,90,0.08542,0.103715,0.089971,0.112242
81,90,0.1037,0.104546,0.093558,0.117871
81,90,0.094018,0.113464,0.068583,0.094611
81,90,0.088131,0.09984,0.096931,0.109376
81,90,0.097724,0.110965,0.095948,0.112868
81,90,0.093892,0.114039,0.058411,0.105021
81,100,0.084271,0.101022,0.099382,0.10519
81,100,0.105288,0.105998,0.093979,0.114426
81,100,0.094712,0.115243,0.056094,0.095508
81,100,0.089833,0.104469,0.094152,0.111783
81,100,0.103854,0.10633,0.09173,0.117273
81,100,0.104325,0.106778,0.05915,0.099187
81,100,0.09636,0.100691,0.092142,0.113558
81,100,0.094111,0.116002,0.093179,0.115799
81,100,0.094703,0.115986,0.060303,0.091828
81,100,0.09406,0.103046,0.096217,0.108048
81,100,0.0961,0.11698,0.097394,0.11913
81,100,0.099524,0.114153,0.060379,0.086226
81,100,0.096304,0.102857,0.095211,0.112989
81,100,0.106099,0.106942,0.095068,0.118474
81,100,0.09831,0.110877,0.061126,0.088875
91,80,0.109982,0.137535,0.118319,0.160938
91,80,0.121432,0.138356,0.120661,0.144565
91,80,0.087725,0.098505,0.109343,0.13493
91,80,0.120189,0.139113,0.122181,0.14551
91,80,0.132192,0.132403,0.076901,0.134004
91,80,0.110651,0.138105,0.117718,0.146448
91,80,0.129822,0.131983,0.125483,0.144124
91,80,0.113697,0.114588,0.120999,0.141646
91,80,0.123913,0.145835,0.123616,0.148536
91,80,0.121952,0.13653,0.101241,0.097962
91,80,0.11913,0.128865,0.121287,0.150477
91,80,0.121022,0.147491,0.115958,0.135151
91,80,0.085304,0.133147,0.116734,0.146904
91,80,0.134117,0.13346,0.123632,0.150586
91,80,0.105496,0.108744,0.124567,0.141245
91,90,0.121599,0.15514,0.120827,0.142592
91,90,0.121708,0.146544,0.080056,0.107335
91,90,0.114484,0.127144,0.120265,0.141227
91,90,0.118918,0.144726,0.124041,0.144567
91,90,0.088852,0.106615,0.113444,0.132797
91,90,0.119394,0.143552,0.122497,0.147729
91,90,0.123562,0.159787,0.084997,0.128044
91,90,0.109045,0.139391,0.118611,0.147065
91,90,0.122674,0.146052,0.123511,0.151266
91,90,0.111099,0.109201,0.124193,0.137467
91,90,0.123985,0.145417,0.122617,0.148686
91,90,0.121968,0.138592,0.0911,0.11737
91,90,0.109993,0.141694,0.122796,0.171653
91,90,0.123665,0.146286,0.115324,0.130552
91,90,0.082664,0.136269,0.117037,0.153097
91,100,0.122664,0.145271,0.1222,0.145167
91,100,0.111934,0.118212,0.114485,0.134247
91,100,0.129476,0.13461,0.123373,0.145137
91,100,0.123332,0.144748,0.083111,0.108788
91,100,0.117639,0.138313,0.122302,0.141652
91,100,0.121348,0.147908,0.123555,0.148605
91,100,0.076894,0.103724,0.106858,0.138468
91,100,0.117421,0.141492,0.120106,0.147007
91,100,0.120886,0.14598,0.078548,0.139397
