Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
101,100,2,600,0.299505,0.430804,0.558431,0.099993,0.068471,0.094314,0.068579,0.092901,0.067878,0.086466,0.06916,0.086354,0.068099,0.094204,0.068348,0.092932
1,100,2,600,0.004738,8.8e-05,0.002975,0.0001,0.00201,0.000508,0.001992,0.000308,0.002007,8.4e-05,0.002438,8.5e-05,0.001996,0.000552,0.001986,0.000357
21,100,2,600,0.005087,0.00359,0.041915,0.003968,0.005393,0.00457,0.005302,0.004382,0.005342,0.003896,0.005815,0.003892,0.005254,0.004609,0.005308,0.004418
41,100,2,600,0.00697,0.013295,0.137055,0.014744,0.013958,0.015941,0.013956,0.015845,0.014539,0.013934,0.014512,0.014527,0.013884,0.016093,0.014034,0.015795
61,100,2,600,0.010239,0.028879,0.245279,0.032833,0.027919,0.034841,0.027775,0.039997,0.027773,0.032093,0.028458,0.032103,0.030549,0.032195,0.027853,0.034752
81,100,2,600,0.014402,0.050523,0.502015,0.056038,0.045962,0.060297,0.046062,0.060063,0.047763,0.053923,0.046221,0.056057,0.045911,0.059961,0.04591,0.059772
101,100,2,600,0.018754,0.078383,1.60569,0.101626,0.080685,0.112927,0.080857,0.112068,0.084079,0.088955,0.068209,0.092952,0.067853,0.092454,0.067741,0.092214
1,100,2,600,0.009883,0.000149,0.002161,9.9e-05,0.002116,0.000544,0.002108,0.000326,0.002098,8.3e-05,0.002111,8.4e-05,0.002107,0.000586,0.002103,0.000374
21,100,2,600,0.022061,0.00894,0.046021,0.004872,0.01149,0.009333,0.011192,0.008385,0.011225,0.007481,0.014597,0.007302,0.011295,0.009175,0.011246,0.008457
41,100,2,600,0.028668,0.032926,0.142904,0.018511,0.02893,0.030358,0.028946,0.030131,0.028836,0.028216,0.031895,0.028223,0.029052,0.033697,0.028783,0.030562
61,100,2,600,0.040212,0.07079,0.263937,0.039423,0.05786,0.06195,0.055836,0.06638,0.055684,0.062082,0.062876,0.053244,0.047093,0.053654,0.046892,0.053122
81,100,2,600,0.045849,0.100885,0.350413,0.056497,0.076987,0.092207,0.079913,0.089117,0.076772,0.086691,0.079216,0.086559,0.07683,0.092365,0.079533,0.089487
101,100,2,600,0.059597,0.156487,1.53173,0.09383,0.113544,0.142335,0.11699,0.142229,0.123161,0.139874,0.1159,0.147135,0.113196,0.143037,0.117689,0.156573
1,100,2,600,0.009183,0.00016,0.002147,9.9e-05,0.002112,0.000528,0.002112,0.000325,0.002109,8.3e-05,0.002098,8.4e-05,0.002086,0.000572,0.002117,0.000366
21,100,2,600,0.138234,0.017953,0.053368,0.003962,0.005645,0.00442,0.005388,0.004371,0.005414,0.004165,0.006046,0.003895,0.005415,0.004651,0.005419,0.00443
41,100,2,600,0.152206,0.066083,0.164835,0.015627,0.016519,0.016433,0.015221,0.016477,0.014837,0.015259,0.017256,0.015846,0.015057,0.016851,0.014376,0.01596
61,100,2,600,0.150453,0.133706,0.258643,0.032615,0.027808,0.034585,0.028155,0.034016,0.027876,0.03212,0.028894,0.032161,0.027786,0.034832,0.028901,0.033623
81,100,2,600,0.222216,0.250367,0.575662,0.055944,0.045906,0.059832,0.047293,0.069568,0.046837,0.056101,0.046992,0.056186,0.046572,0.060333,0.046794,0.059785
