Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKOPT, time_subproblem_KCRDKOPT, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,100,0.0078,0.000361,0.006649,0.000266,0.004938,0.003568,0.00468,0.001738,0.005343,0.000213,0.00605,0.000232,0.004565,0.006175
1,100,0.014932,0.000375,0.003965,0.000193,0.002519,0.001778,0.002861,0.001188,0.003315,0.000161,0.002811,0.000145,0.002479,0.002605
1,100,0.013828,0.000354,0.002719,0.000131,0.00285,0.002465,0.003484,0.001145,0.00243,0.000146,0.002514,0.000174,0.005276,0.005248
1,100,0.017752,0.000658,0.004696,0.000263,0.004333,0.002985,0.002766,0.000905,0.002544,0.000124,0.004296,0.000192,0.004137,0.003911
1,100,0.005834,0.000226,0.007114,0.000224,0.00281,0.001812,0.003787,0.001658,0.004239,0.000185,0.004458,0.000168,0.004362,0.005306
1,100,0.013257,0.000311,0.004349,0.000238,0.002918,0.000995,0.002685,0.000761,0.004179,0.000246,0.005351,0.000217,0.002884,0.001826
1,100,0.013803,0.00036,0.00235,0.000208,0.003836,0.003471,0.002794,0.00089,0.002365,0.000169,0.002528,0.000162,0.00406,0.004556
11,0,0.359566,0.017829,0.016829,0.002013,0.007769,0.006007,0.007009,0.003878,0.006389,0.002962,0.00743,0.001853,0.005856,0.007281
11,0,0.276104,0.016784,0.016775,0.003439,0.007203,0.006835,0.006813,0.003792,0.004667,0.0024,0.006872,0.002103,0.00564,0.007016
11,0,0.382325,0.020062,0.019163,0.00363,0.007954,0.006412,0.006906,0.005842,0.008274,0.002426,0.007812,0.003886,0.009844,0.007653
11,0,0.017556,0.010328,0.032381,0.002877,0.006401,0.008401,0.008329,0.005043,0.006968,0.003372,0.013888,0.003656,0.005743,0.011146
11,0,0.017458,0.004447,0.036309,0.003835,0.004586,0.004772,0.005473,0.003018,0.006032,0.002625,0.004876,0.001596,0.004638,0.007856
11,0,0.007834,0.003007,0.040606,0.002654,0.00514,0.004114,0.00574,0.00355,0.006069,0.001907,0.00729,0.002859,0.005411,0.00898
11,0,0.009836,0.003768,0.038583,0.00393,0.006094,0.004915,0.006212,0.003766,0.004405,0.002798,0.006499,0.001702,0.004296,0.007591
11,0,0.602161,0.018913,0.018288,0.001755,0.01116,0.00924,0.006617,0.004351,0.009589,0.003184,0.006339,0.001795,0.010392,0.012022
11,0,0.007026,0.002203,0.025228,0.001868,0.004021,0.003836,0.004721,0.00289,0.004339,0.001717,0.00666,0.002007,0.004292,0.004977
11,0,0.770399,0.027173,0.012551,0.001872,0.012404,0.011733,0.00652,0.00548,0.010592,0.003778,0.005484,0.001647,0.010139,0.01717
11,0,0.023362,0.006129,0.030697,0.001804,0.010552,0.011451,0.011734,0.008191,0.008863,0.004495,0.008761,0.002731,0.006652,0.009412
11,0,0.642357,0.021759,0.016774,0.00198,0.010801,0.010676,0.005923,0.003045,0.00918,0.003487,0.006354,0.002458,0.009395,0.011668
11,0,0.055054,0.006176,0.0306,0.00166,0.004156,0.004602,0.00512,0.002841,0.004565,0.001728,0.004971,0.00159,0.004663,0.006128
11,0,0.006264,0.002185,0.029777,0.001755,0.003978,0.00341,0.004904,0.003614,0.004774,0.001559,0.00573,0.001733,0.004412,0.005798
11,0,0.047254,0.006374,0.033091,0.001771,0.00881,0.007448,0.009206,0.005997,0.007107,0.002626,0.008729,0.002812,0.007005,0.010963
11,0,0.010869,0.002821,0.027432,0.001887,0.004238,0.004637,0.004127,0.003015,0.004403,0.001597,0.005162,0.002131,0.004005,0.005154
11,0,0.03656,0.005414,0.027033,0.001684,0.006982,0.005303,0.009163,0.005514,0.007199,0.003324,0.010869,0.003516,0.008028,0.008714
11,0,0.006114,0.002816,0.026897,0.00193,0.00592,0.003564,0.006242,0.002776,0.004701,0.00238,0.005948,0.001795,0.004688,0.006427
11,0,0.012816,0.003981,0.027472,0.001662,0.004384,0.004692,0.005411,0.002577,0.004424,0.001526,0.005806,0.001636,0.005243,0.004943
11,0,0.036867,0.007231,0.031202,0.001718,0.006403,0.00649,0.007208,0.00512,0.006108,0.002557,0.009503,0.003359,0.007295,0.008272
11,20,0.269601,0.017081,0.01224,0.00281,0.005463,0.00462,0.005733,0.002515,0.005868,0.00179,0.005663,0.001542,0.005429,0.006871
11,20,0.220299,0.012799,0.013439,0.002009,0.006437,0.004961,0.005038,0.003184,0.005678,0.001853,0.004742,0.00168,0.005634,0.006535
11,20,0.320866,0.015954,0.01441,0.001979,0.005101,0.004001,0.005241,0.002809,0.006676,0.002256,0.005178,0.001658,0.005054,0.006033
11,20,0.013384,0.002934,0.020992,0.00182,0.003967,0.004377,0.006024,0.003283,0.003837,0.001574,0.005593,0.001693,0.004126,0.005862
11,20,0.01305,0.004741,0.027066,0.001858,0.004623,0.003154,0.004367,0.002956,0.003796,0.001491,0.005259,0.001794,0.003733,0.006161
11,20,0.006362,0.002414,0.036119,0.001901,0.004495,0.003599,0.003984,0.002864,0.00433,0.001824,0.00507,0.002289,0.004095,0.006834
11,20,0.006565,0.002019,0.026811,0.002307,0.004096,0.004842,0.004178,0.002634,0.004404,0.002789,0.006023,0.002602,0.004719,0.005611
11,20,0.585962,0.02086,0.016224,0.002873,0.010918,0.011829,0.005855,0.003271,0.00836,0.002884,0.006464,0.001622,0.008741,0.012548
11,20,0.006462,0.002425,0.027211,0.001713,0.004034,0.003705,0.004808,0.003198,0.004117,0.001828,0.005565,0.002233,0.005097,0.005685
11,20,0.675879,0.01911,0.011847,0.002015,0.009037,0.011764,0.006428,0.003299,0.00774,0.002573,0.006003,0.001864,0.008633,0.01373
11,20,0.021596,0.004349,0.025564,0.001939,0.007367,0.005764,0.007819,0.006419,0.006969,0.002572,0.009343,0.002614,0.007734,0.010115
11,20,0.635176,0.0202,0.017354,0.002585,0.013152,0.008803,0.011215,0.006024,0.00835,0.003683,0.00573,0.00273,0.010054,0.012046
11,20,0.05516,0.00692,0.029882,0.003517,0.005416,0.004439,0.004119,0.002864,0.004956,0.001797,0.006589,0.001858,0.006693,0.005548
11,20,0.005001,0.001842,0.028777,0.003388,0.005501,0.003646,0.005065,0.003337,0.004001,0.001512,0.006116,0.001546,0.003948,0.004819
11,20,0.049537,0.006764,0.032302,0.001669,0.008065,0.007735,0.009217,0.005555,0.007567,0.002545,0.009215,0.002679,0.007087,0.010623
11,20,0.010964,0.003366,0.025795,0.002308,0.004363,0.003919,0.004374,0.002368,0.005258,0.001715,0.004627,0.00191,0.004699,0.004902
11,20,0.0377,0.00484,0.022513,0.001748,0.007323,0.00607,0.007657,0.0047,0.006831,0.002856,0.011047,0.002752,0.007229,0.007792
11,20,0.006085,0.002558,0.027304,0.001914,0.004002,0.00347,0.005176,0.003036,0.004047,0.001629,0.005381,0.001694,0.006488,0.004983
11,20,0.013938,0.003145,0.027194,0.00164,0.004633,0.003353,0.005241,0.003116,0.004342,0.002593,0.006065,0.001634,0.004086,0.005704
11,20,0.037565,0.007015,0.030827,0.001912,0.007671,0.006116,0.006347,0.004228,0.00806,0.003014,0.013311,0.005812,0.010391,0.01365
11,40,0.305783,0.029646,0.012787,0.002459,0.00575,0.004822,0.005413,0.002481,0.005677,0.002442,0.008917,0.002994,0.006742,0.006508
11,40,0.22193,0.015021,0.015211,0.001791,0.004504,0.007026,0.005067,0.003642,0.006252,0.001784,0.00481,0.001558,0.005541,0.007242
11,40,0.31263,0.013391,0.014281,0.00241,0.006072,0.00391,0.004258,0.002677,0.005206,0.001659,0.004592,0.001571,0.004974,0.00635
11,40,0.014503,0.00296,0.025409,0.001875,0.004203,0.003499,0.004577,0.003122,0.00466,0.001703,0.004738,0.001513,0.005988,0.005495
