Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.068149,0.000306,0.080474,0.000176,0.074935,0.000146,0.045542,0.003128,0.050572,0.002783,0.043628,0.00352,0.03832,0.00275,0.038108,0.000332,0.046176,0.000289,0.041256,0.004587,0.038898,0.003912
21,90,2,600,4.00893,0.079251,4.67219,0.043222,7.83807,0.040601,0.141952,0.027108,0.141468,0.029665,0.03454,0.027229,0.039825,0.021501,0.038131,0.007684,0.044532,0.007571,0.041086,0.024935,0.033907,0.026679
41,90,2,600,4.89763,0.259477,5.11745,0.143552,8.25589,0.121533,0.277967,0.078238,0.296684,0.07654,0.043173,0.074407,0.050162,0.072279,0.042303,0.026698,0.050597,0.025949,0.101141,0.078227,0.07027,0.073951
61,90,2,600,5.26438,0.533552,5.27047,0.29099,9.45211,0.26606,0.568298,0.131311,0.551138,0.148085,0.056483,0.122862,0.058297,0.117657,0.056767,0.051735,0.068072,0.051913,0.056175,0.124219,0.059886,0.118393
81,90,2,600,5.00786,0.873326,5.18281,0.489606,8.91108,0.453208,1.2821,0.229768,1.08084,0.201405,0.080609,0.197541,0.091545,0.197674,0.077182,0.090645,0.095125,0.089456,0.077209,0.196274,0.078191,0.222212
101,90,2,600,4.39349,1.30015,5.22204,0.740671,7.8829,0.713533,2.31722,0.307332,1.95824,0.32705,0.105375,0.296174,0.107785,0.327855,0.10342,0.136134,0.111998,0.135897,0.10125,0.301433,0.101706,0.276287
1,90,2,600,0.071978,0.000378,0.083301,0.000213,0.08295,0.000144,0.04659,0.003186,0.046629,0.002864,0.037372,0.003848,0.037353,0.003106,0.038881,0.000314,0.046729,0.0003,0.042017,0.00497,0.044903,0.003069
21,90,2,600,2.53098,0.061139,2.92866,0.036682,4.66412,0.035528,0.151414,0.024465,0.153616,0.024536,0.035429,0.030126,0.035679,0.026362,0.045181,0.008031,0.061887,0.007558,0.036598,0.02635,0.036314,0.022193
41,90,2,600,2.23479,0.196722,2.43378,0.111331,3.93725,0.098383,0.406012,0.077624,0.398959,0.066119,0.053542,0.06375,0.048223,0.064121,0.042702,0.026202,0.055348,0.026274,0.048657,0.067333,0.045106,0.060684
61,90,2,600,2.94984,0.426935,2.58773,0.225836,5.0774,0.217317,0.809433,0.133807,0.694345,0.112603,0.059397,0.139506,0.059978,0.131578,0.05915,0.051915,0.064933,0.053252,0.062212,0.131883,0.057611,0.135421
81,90,2,600,3.2767,0.7183,3.54155,0.407722,5.46539,0.360027,1.51133,0.222061,1.25689,0.197159,0.085753,0.201447,0.08073,0.192255,0.077735,0.090872,0.154511,0.090892,0.082092,0.231034,0.078583,0.207286
101,90,2,600,2.92638,1.02468,3.15041,0.553932,9.04727,0.669556,1.54183,0.313891,1.18681,0.304109,0.108686,0.304798,0.10605,0.321274,0.103916,0.136259,0.111304,0.135495,0.109812,0.323139,0.104919,0.292073
1,90,2,600,0.032056,0.000165,0.041298,0.000103,0.036865,9.2e-05,0.029858,0.002318,0.029548,0.001862,0.023193,0.002425,0.022464,0.002644,0.022504,0.000221,0.030129,0.000181,0.023187,0.002842,0.025035,0.00258
21,90,2,600,0.028712,0.008627,0.030442,0.004094,0.042975,0.00378,0.182274,0.025075,0.157524,0.027439,0.028606,0.018597,0.028534,0.022324,0.037791,0.007794,0.033456,0.008734,0.026816,0.022085,0.033625,0.018884
41,90,2,600,0.037159,0.027954,0.030314,0.015029,0.045065,0.015882,0.677164,0.061469,0.575608,0.067436,0.036693,0.073024,0.037699,0.072767,0.036166,0.024923,0.040352,0.025113,0.036628,0.066499,0.036411,0.052366
61,90,2,600,0.028558,0.058023,0.038135,0.03108,0.043,0.031111,1.59785,0.122614,1.45591,0.123102,0.054454,0.136844,0.052604,0.12872,0.052032,0.051859,0.058474,0.052573,0.06118,0.134835,0.051516,0.115898
81,90,2,600,0.028941,0.102298,0.030407,0.054025,0.042663,0.050082,3.44921,0.196619,2.05886,0.202037,0.079232,0.230475,0.072502,0.208182,0.071467,0.089131,0.076359,0.089596,0.071205,0.185509,0.073251,0.2118
101,90,2,600,0.02853,0.153358,0.030388,0.082197,0.042151,0.076797,4.59547,0.314397,4.06026,0.359674,0.099402,0.299926,0.097856,0.271255,0.098782,0.136658,0.102836,0.137199,0.097059,0.323859,0.097285,0.30955
1,90,2,600,0.063313,0.000309,0.070122,0.000242,0.085191,0.000147,0.024328,0.002428,0.024918,0.001667,0.024304,0.00172,0.025705,0.002003,0.025315,0.000216,0.025472,0.000158,0.023699,0.002286,0.023372,0.002083
