Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_16.txt,1,60,0.049012,0.000815,0.008406,0.000325,0.016818,0.051333
toy_instances/toy_instance_29.txt,1,60,0.064017,0.000901,0.008024,0.000332,0.013617,0.001048
toy_instances/toy_instance_37.txt,1,60,0.024283,0.000545,0.006382,0.00033,0.005971,0.024502
toy_instances/toy_instance_5.txt,1,60,0.017742,0.000362,0.013517,0.000364,0.005663,0.00871
toy_instances/toy_instance_11.txt,1,60,0.050721,0.000725,0.008312,0.000351,0.008573,0.001947
toy_instances/toy_instance_34.txt,1,60,0.012441,0.000356,0.008177,0.000374,0.005881,0.027183
toy_instances/toy_instance_41.txt,1,60,0.020686,0.000342,0.00881,0.000386,0.006237,0.02409
toy_instances/toy_instance_48.txt,1,60,0.026203,0.000578,0.006697,0.000382,0.006102,0.026306
toy_instances/toy_instance_19.txt,1,60,0.011463,0.000353,0.010291,0.000373,0.00617,0.024127
toy_instances/toy_instance_27.txt,1,60,0.024448,0.000526,0.006812,0.000411,0.006374,0.014675
toy_instances/toy_instance_22.txt,1,60,0.027047,0.000617,0.012683,0.000525,0.012824,0.002024
toy_instances/toy_instance_39.txt,1,60,0.027221,0.00059,0.006606,0.000379,0.006549,0.009397
toy_instances/toy_instance_23.txt,1,60,0.054457,0.000804,0.012267,0.000581,0.014251,0.048724
toy_instances/toy_instance_38.txt,1,60,0.026364,0.000532,0.010691,0.000546,0.010024,0.039162
toy_instances/toy_instance_8.txt,1,60,0.027271,0.000613,0.006012,0.000364,0.006166,0.019787
toy_instances/toy_instance_28.txt,1,60,0.026104,0.000569,0.006421,0.000355,0.005743,0.025886
toy_instances/toy_instance_21.txt,1,60,0.026161,0.00073,0.01173,0.000557,0.011728,0.038769
toy_instances/toy_instance_15.txt,1,60,0.02854,0.000614,0.012253,0.000566,0.01183,0.031586
toy_instances/toy_instance_44.txt,1,60,0.025934,0.000522,0.00579,0.000347,0.005638,0.025629
toy_instances/toy_instance_26.txt,1,60,0.012404,0.000361,0.008328,0.000345,0.005728,0.025926
toy_instances/toy_instance_32.txt,1,60,0.046911,0.000776,0.011483,0.00054,0.011649,0.006723
toy_instances/toy_instance_46.txt,1,60,0.046788,0.000827,0.008756,0.00037,0.014725,0.05077
toy_instances/toy_instance_17.txt,1,60,0.026529,0.00053,0.011162,0.000567,0.01117,0.007284
toy_instances/toy_instance_24.txt,1,60,0.050443,0.000736,0.007841,0.000427,0.008332,0.02312
toy_instances/toy_instance_49.txt,1,60,0.012002,0.000351,0.008979,0.000364,0.006557,0.025375
toy_instances/toy_instance_33.txt,1,60,0.026814,0.000635,0.006503,0.000292,0.006184,0.017004
toy_instances/toy_instance_10.txt,1,60,0.047866,0.000713,0.008266,0.000391,0.008149,0.004431
toy_instances/toy_instance_40.txt,1,60,0.051423,0.000728,0.008329,0.000358,0.008582,0.010161
toy_instances/toy_instance_18.txt,1,60,0.027789,0.000549,0.006332,0.000388,0.006389,0.025904
toy_instances/toy_instance_50.txt,1,60,0.025741,0.000526,0.012067,0.000528,0.011327,0.044165
toy_instances/toy_instance_6.txt,1,60,0.060816,0.002614,0.00872,0.000351,0.018782,0.055326
toy_instances/toy_instance_30.txt,1,60,0.016182,0.000361,0.018698,0.000362,0.014153,0.056314
toy_instances/toy_instance_45.txt,1,60,0.051128,0.000814,0.012223,0.000508,0.016051,0.002408
toy_instances/toy_instance_35.txt,1,60,0.021323,0.001453,0.010643,0.000381,0.00946,0.052171
toy_instances/toy_instance_12.txt,1,60,0.164329,0.000943,0.032236,0.000617,0.048428,0.054602
toy_instances/toy_instance_43.txt,1,60,0.055428,0.001162,0.011911,0.000449,0.027096,0.106003
toy_instances/toy_instance_36.txt,1,60,0.058677,0.000521,0.010295,0.000409,0.011292,0.000909
toy_instances/toy_instance_25.txt,1,60,0.012552,0.000336,0.008745,0.000354,0.006202,0.038838
toy_instances/toy_instance_1.txt,1,60,0.015479,0.000351,0.006864,0.000289,0.006401,0.023439
toy_instances/toy_instance_4.txt,1,60,0.024174,0.000452,0.00548,0.000308,0.006204,0.020421
toy_instances/toy_instance_31.txt,1,60,0.012776,0.000323,0.008023,0.0003,0.004384,0.025304
toy_instances/toy_instance_14.txt,1,60,0.023937,0.00058,0.011804,0.000561,0.00673,0.028048
toy_instances/toy_instance_42.txt,1,60,0.021815,0.000623,0.012783,0.000631,0.012751,0.03912
toy_instances/toy_instance_9.txt,1,60,0.054071,0.000742,0.013961,0.000583,0.017802,0.058616
toy_instances/toy_instance_2.txt,1,80,0.030126,0.000668,0.015755,0.000673,0.009474,0.043032
toy_instances/toy_instance_47.txt,1,80,0.054422,0.000864,0.008304,0.000363,0.016438,0.053001
toy_instances/toy_instance_7.txt,1,80,0.023244,0.000544,0.005286,0.000329,0.005525,0.026742
toy_instances/toy_instance_13.txt,1,80,0.010461,0.000372,0.008357,0.000392,0.005289,0.026205
toy_instances/toy_instance_20.txt,1,80,0.054485,0.000811,0.007425,0.000375,0.007943,0.034755
toy_instances/toy_instance_3.txt,1,80,0.015199,0.000468,0.008216,0.00034,0.016407,0.018053
toy_instances/toy_instance_16.txt,1,80,0.014429,0.000358,0.010181,0.000406,0.00634,0.031061
toy_instances/toy_instance_29.txt,1,80,0.011608,0.000372,0.009354,0.000382,0.007482,0.037131
toy_instances/toy_instance_37.txt,1,80,0.125556,0.000877,0.016652,0.000603,0.02692,0.018671
toy_instances/toy_instance_5.txt,1,80,0.037887,0.000533,0.015713,0.000581,0.034416,0.096635
toy_instances/toy_instance_11.txt,1,80,0.012649,0.000376,0.008609,0.000415,0.006876,0.031018
toy_instances/toy_instance_34.txt,1,80,0.027025,0.000582,0.006918,0.000446,0.006946,0.048963
toy_instances/toy_instance_41.txt,1,80,0.057407,0.000619,0.014833,0.000546,0.010615,0.001082
