Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,1,0.008087,0.006864,0.007592,0.008985,0.007814,0.006835,0.007974,0.007454
21,100,1,0.302764,0.040885,0.011059,0.007014,0.009166,0.007923,0.009528,0.007533
21,100,1,0.007516,0.007838,0.009013,0.008461,0.008381,0.006002,0.00853,0.009618
21,100,1,0.079216,0.026127,0.0082,0.010063,0.009387,0.006253,0.008916,0.009753
21,100,1,0.023299,0.011884,0.013852,0.011287,0.016481,0.01083,0.013444,0.015502
21,100,1,0.934251,0.06629,0.00877,0.007713,0.009402,0.006339,0.007052,0.00653
21,100,1,0.146173,0.030468,0.006711,0.006275,0.010811,0.007323,0.010057,0.012096
21,100,1,0.594847,0.059083,0.011521,0.008931,0.007561,0.005862,0.011188,0.008019
21,100,1,0.411406,0.056705,0.009399,0.012317,0.008522,0.007356,0.01116,0.012903
21,100,1,0.239367,0.049778,0.01448,0.007577,0.012294,0.007427,0.011603,0.011244
21,100,1,0.007169,0.009338,0.010034,0.012163,0.007674,0.010986,0.009258,0.007775
21,100,1,0.008366,0.008389,0.009171,0.01198,0.009097,0.010404,0.008471,0.011575
21,100,1,0.254838,0.047021,0.015279,0.01016,0.0156,0.007048,0.014269,0.007458
21,100,1,0.058201,0.023669,0.012181,0.007528,0.009539,0.00712,0.010595,0.00678
21,100,1,0.016108,0.011185,0.012889,0.011503,0.01582,0.009401,0.012696,0.012762
21,100,1,0.043789,0.026326,0.028787,0.015816,0.018888,0.016333,0.018868,0.012813
21,100,1,0.55198,0.055148,0.008457,0.008137,0.010416,0.006888,0.008253,0.006206
21,100,1,0.006977,0.007191,0.008758,0.007682,0.008938,0.007248,0.009718,0.007247
21,100,1,0.404765,0.044276,0.008393,0.007681,0.00878,0.005988,0.008255,0.007779
21,100,1,0.162226,0.032651,0.007197,0.006541,0.00882,0.006209,0.007411,0.006962
21,100,1,0.006568,0.006268,0.008733,0.008475,0.008285,0.005972,0.007867,0.007849
21,100,1,0.005664,0.007035,0.009196,0.006318,0.007617,0.006047,0.007108,0.007092
21,100,1,0.013104,0.009352,0.012459,0.012114,0.014527,0.011381,0.014277,0.009333
21,100,1,0.00638,0.00802,0.008403,0.009602,0.009294,0.006134,0.007945,0.007838
21,100,1,0.025683,0.012733,0.01208,0.009525,0.011654,0.010525,0.014096,0.012482
21,100,1,0.005893,0.006705,0.009003,0.00587,0.007942,0.006642,0.00841,0.007109
21,100,1,0.02356,0.014617,0.013569,0.013584,0.014502,0.01024,0.01262,0.012864
21,100,1,0.023713,0.012596,0.014653,0.009667,0.013027,0.012543,0.01656,0.012429
21,100,1,0.039792,0.017795,0.024426,0.026971,0.035192,0.026774,0.02358,0.01784
21,100,1,0.107534,0.030414,0.010781,0.0084,0.007597,0.005576,0.008548,0.007704
31,100,1,0.379675,0.094927,0.013588,0.014781,0.012623,0.01259,0.01401,0.014312
31,100,1,0.043121,0.040242,0.064715,0.058763,0.065317,0.058858,0.063803,0.0633
31,100,1,0.158086,0.067447,0.014069,0.014324,0.014232,0.015307,0.015616,0.018859
31,100,1,0.230253,0.080702,0.013733,0.013672,0.013828,0.012916,0.013195,0.014718
31,100,1,0.007675,0.013738,0.013643,0.014809,0.01232,0.014126,0.013771,0.014692
31,100,1,0.199524,0.077759,0.013884,0.01368,0.014308,0.013382,0.013086,0.014535
31,100,1,0.014781,0.022526,0.019348,0.02222,0.021975,0.021609,0.020902,0.020037
31,100,1,0.250349,0.079333,0.012664,0.014515,0.012606,0.012802,0.01285,0.013943
31,100,1,0.53516,0.110005,0.01253,0.014135,0.016031,0.014895,0.015197,0.013987
31,100,1,0.321286,0.100329,0.018846,0.01865,0.017326,0.016257,0.01715,0.018946
31,100,1,0.033313,0.034227,0.027538,0.029659,0.022565,0.022552,0.021523,0.021012
31,100,1,0.249161,0.085479,0.012923,0.014158,0.01277,0.012484,0.015878,0.013352
31,100,1,0.188834,0.070549,0.013961,0.014232,0.013478,0.013327,0.013005,0.015021
31,100,1,0.025283,0.028756,0.021761,0.028207,0.019935,0.02132,0.022372,0.02208
31,100,1,0.007447,0.01342,0.012671,0.0159,0.012661,0.013972,0.01308,0.014511
31,100,1,0.14553,0.063732,0.01248,0.01539,0.013224,0.013661,0.014277,0.015244
31,100,1,0.6737,0.122084,0.012311,0.013337,0.013652,0.015377,0.0145,0.013489
31,100,1,0.008092,0.013208,0.013286,0.015001,0.012556,0.013034,0.011113,0.012984
31,100,1,0.026949,0.029397,0.018447,0.020227,0.018216,0.019871,0.020174,0.019617
31,100,1,0.179629,0.079905,0.02092,0.025869,0.014755,0.018303,0.017959,0.022226
31,100,1,0.012876,0.029752,0.025568,0.027518,0.017959,0.022409,0.021963,0.024615
31,100,1,0.346982,0.122814,0.013055,0.014886,0.013565,0.013748,0.012189,0.014629
31,100,1,0.005435,0.01584,0.012876,0.01396,0.013172,0.015304,0.012905,0.015467
31,100,1,0.064184,0.044919,0.014238,0.016128,0.013755,0.015066,0.015585,0.018446
31,100,1,0.033727,0.03319,0.022814,0.025279,0.023674,0.026544,0.023404,0.029295
31,100,1,1.18275,0.16852,0.024111,0.026292,0.028996,0.02461,0.027522,0.028132
31,100,1,0.082415,0.052758,0.01299,0.01451,0.01791,0.024376,0.012999,0.012784
31,100,1,0.54448,0.107699,0.012492,0.013318,0.014592,0.011909,0.011977,0.015421
31,100,1,0.316899,0.091566,0.012978,0.013407,0.014076,0.011933,0.012175,0.01472
31,100,1,0.223508,0.075037,0.012775,0.01324,0.013839,0.0123,0.012599,0.014749
31,100,1,0.007284,0.013079,0.013101,0.015041,0.011512,0.014664,0.011759,0.012541
31,100,1,0.007071,0.015022,0.011569,0.014729,0.011882,0.012189,0.012583,0.016003
31,100,1,0.112674,0.052359,0.013843,0.013646,0.014039,0.013015,0.014017,0.013293
31,100,1,0.076276,0.046592,0.013987,0.013169,0.014579,0.013493,0.01279,0.014671
31,100,1,0.01729,0.019952,0.021346,0.023003,0.021087,0.021986,0.020547,0.020768
31,100,1,0.027525,0.029176,0.021709,0.021128,0.020112,0.019933,0.019984,0.019709
31,100,1,0.532918,0.110244,0.011805,0.012451,0.014056,0.011936,0.01291,0.014271
31,100,1,0.009138,0.012689,0.014033,0.012792,0.01159,0.015616,0.011362,0.012848
31,100,1,0.457781,0.106254,0.012869,0.013375,0.014173,0.012336,0.01184,0.01344
31,100,1,0.10367,0.056607,0.013566,0.014411,0.011678,0.013903,0.012841,0.01422
31,100,1,0.007854,0.013679,0.012607,0.014157,0.013229,0.012877,0.013458,0.014365
31,100,1,0.00602,0.01513,0.013515,0.014183,0.011358,0.013238,0.012751,0.014037
31,100,1,0.013806,0.022155,0.022731,0.02079,0.020588,0.019928,0.018874,0.021786
31,100,1,0.007332,0.014048,0.011765,0.013007,0.013106,0.012853,0.011908,0.015249
31,100,1,0.029033,0.028511,0.01882,0.022045,0.020548,0.01987,0.022261,0.020048
31,100,1,0.008887,0.012117,0.013085,0.013452,0.0119,0.014783,0.011176,0.013687
31,100,1,0.026818,0.032168,0.018695,0.022815,0.01932,0.020488,0.019816,0.020514
31,100,1,0.02854,0.027958,0.022109,0.022143,0.020554,0.020388,0.026065,0.025966
31,100,1,0.015337,0.024486,0.018877,0.020668,0.023275,0.021313,0.020944,0.019781
31,100,1,0.099976,0.056639,0.014293,0.013848,0.012335,0.01353,0.012615,0.013299
41,100,1,0.281177,0.143233,0.019206,0.025745,0.017157,0.025213,0.01776,0.027498
41,100,1,0.028582,0.046381,0.074443,0.095347,0.073351,0.090853,0.072916,0.094046
41,100,1,0.180647,0.116552,0.019101,0.025741,0.01733,0.024467,0.017913,0.025216
41,100,1,0.249845,0.142114,0.018659,0.025814,0.018138,0.025036,0.018443,0.024777
41,100,1,0.018983,0.035404,0.029243,0.0396,0.027453,0.040919,0.027594,0.043959
41,100,1,0.268014,0.136509,0.01901,0.024589,0.017648,0.025025,0.01761,0.02549
41,100,1,0.012649,0.037444,0.029004,0.042018,0.029239,0.039098,0.029513,0.039673
41,100,1,0.223809,0.119694,0.01889,0.026206,0.017426,0.025247,0.017543,0.027171
41,100,1,0.556968,0.182259,0.019746,0.024608,0.017742,0.024415,0.017633,0.024674
41,100,1,0.232409,0.125423,0.019231,0.025834,0.01824,0.025148,0.017923,0.024876
41,100,1,0.061204,0.075149,0.041812,0.054455,0.043048,0.04899,0.039255,0.053648
41,100,1,0.276826,0.142647,0.020517,0.023735,0.017901,0.026785,0.018083,0.027794
41,100,1,0.155365,0.101083,0.019761,0.025678,0.017612,0.024176,0.018157,0.026373
41,100,1,0.030612,0.047112,0.030326,0.040203,0.027484,0.042081,0.027477,0.040238
41,100,1,0.008571,0.021903,0.018266,0.027312,0.016837,0.025412,0.017307,0.027932
41,100,1,0.188416,0.118817,0.020448,0.032674,0.023097,0.033195,0.0175,0.028158
41,100,1,0.702871,0.212262,0.019212,0.025618,0.016827,0.024716,0.017815,0.027408
41,100,1,0.012883,0.024231,0.019745,0.024207,0.017643,0.025307,0.017465,0.027962
41,100,1,0.030684,0.04653,0.029019,0.039917,0.028067,0.041637,0.027966,0.043297
41,100,1,0.150766,0.104004,0.018375,0.025118,0.017221,0.024842,0.017696,0.026748
41,100,1,0.008545,0.021107,0.01862,0.026815,0.017014,0.025349,0.017396,0.02806
41,100,1,0.277937,0.137426,0.017756,0.02721,0.017728,0.025298,0.017515,0.026423
41,100,1,0.009149,0.022217,0.018538,0.025061,0.017117,0.024553,0.016831,0.028321
41,100,1,0.065015,0.071638,0.018298,0.025389,0.017314,0.024425,0.017328,0.027777
41,100,1,0.032013,0.04644,0.028179,0.045149,0.027465,0.0407,0.027042,0.039911
41,100,1,0.89212,0.236137,0.019025,0.026228,0.017608,0.025867,0.017226,0.026259
41,100,1,0.15423,0.10866,0.019078,0.025616,0.017078,0.024491,0.017146,0.027469
41,100,1,0.535717,0.187592,0.019175,0.027354,0.017736,0.026163,0.017457,0.026844
41,100,1,0.396386,0.168965,0.019584,0.025927,0.019367,0.027407,0.017511,0.029839
41,100,1,0.283439,0.142575,0.019747,0.024952,0.017555,0.026209,0.018019,0.026589
41,100,1,0.007953,0.022895,0.01904,0.026267,0.017087,0.024869,0.017661,0.028226
41,100,1,0.008194,0.022185,0.018409,0.026522,0.016882,0.023558,0.016998,0.028136
41,100,1,0.222076,0.131504,0.025295,0.029929,0.01823,0.025006,0.018334,0.027011
41,100,1,0.061463,0.072127,0.019499,0.024975,0.017367,0.024697,0.01758,0.027689
41,100,1,0.016832,0.037467,0.030067,0.040733,0.027198,0.039998,0.02692,0.04254
41,100,1,0.031675,0.046242,0.030318,0.04365,0.028182,0.043154,0.027459,0.041546
41,100,1,0.396881,0.16804,0.019016,0.025297,0.017915,0.024849,0.017388,0.025821
41,100,1,0.008597,0.021978,0.019179,0.027153,0.016832,0.024614,0.016549,0.028256
41,100,1,0.45493,0.17644,0.020118,0.025396,0.018112,0.025504,0.018838,0.026656
41,100,1,0.117936,0.095378,0.021028,0.026708,0.017633,0.026073,0.016556,0.030052
41,100,1,0.009521,0.023574,0.018446,0.026847,0.017363,0.027363,0.017365,0.03036
41,100,1,0.009911,0.022668,0.018321,0.027372,0.018671,0.028499,0.016573,0.029925
41,100,1,0.018397,0.038185,0.030039,0.043852,0.028014,0.041306,0.02947,0.042397
41,100,1,0.008969,0.021838,0.017773,0.025232,0.016604,0.025686,0.018105,0.023898
41,100,1,0.029917,0.047116,0.031285,0.03566,0.028415,0.040489,0.026988,0.040917
41,100,1,0.008855,0.020713,0.017645,0.026479,0.016898,0.027927,0.016515,0.025939
41,100,1,0.029174,0.048339,0.031504,0.037563,0.032855,0.043845,0.028716,0.044986
41,100,1,0.033221,0.050356,0.032423,0.04379,0.030037,0.038017,0.028409,0.043998
41,100,1,0.027602,0.054602,0.040521,0.05773,0.0393,0.053724,0.039053,0.055256
41,100,1,0.131073,0.1039,0.020784,0.026169,0.01719,0.024752,0.01743,0.024548
51,100,1,0.27921,0.229004,0.02682,0.042597,0.026708,0.033401,0.026833,0.038418
51,100,1,0.050369,0.092989,0.042295,0.057757,0.041434,0.055,0.044016,0.060986
51,100,1,0.191609,0.192517,0.024856,0.037481,0.02983,0.048187,0.02633,0.038018
51,100,1,0.277718,0.213093,0.024759,0.037386,0.02644,0.03543,0.02677,0.038371
51,100,1,0.020255,0.051439,0.039111,0.059837,0.039913,0.053316,0.040237,0.058738
51,100,1,0.315726,0.237316,0.030477,0.04081,0.025997,0.036355,0.028261,0.039751
51,100,1,0.051296,0.093898,0.087982,0.114833,0.080622,0.102186,0.075059,0.098843
51,100,1,0.248762,0.199717,0.026457,0.035483,0.027531,0.035542,0.028274,0.036392
51,100,1,0.570716,0.294308,0.025342,0.036751,0.026597,0.03472,0.02671,0.03876
51,100,1,0.239335,0.200133,0.025279,0.037066,0.028617,0.032998,0.031575,0.039033
51,100,1,0.034975,0.077471,0.084489,0.102972,0.10747,0.139406,0.084073,0.109969
51,100,1,0.28591,0.2263,0.02637,0.038909,0.026103,0.035401,0.02731,0.03986
51,100,1,0.15225,0.179432,0.026095,0.037422,0.027144,0.034393,0.026181,0.036713
51,100,1,0.033352,0.068663,0.040499,0.060346,0.04073,0.066477,0.042663,0.061038
51,100,1,0.009052,0.040832,0.026267,0.036396,0.025794,0.034917,0.025387,0.036325
51,100,1,0.159815,0.168003,0.027383,0.03594,0.027017,0.034157,0.025807,0.03737
51,100,1,0.695425,0.340773,0.027035,0.039137,0.025717,0.036119,0.025798,0.035455
51,100,1,0.009285,0.034176,0.026277,0.037239,0.025109,0.035332,0.026108,0.034887
51,100,1,0.033896,0.071193,0.039959,0.057421,0.041075,0.052622,0.042227,0.057019
51,100,1,0.119245,0.157315,0.025887,0.037449,0.025952,0.03538,0.026701,0.03654
51,100,1,0.010236,0.037965,0.024506,0.038801,0.025323,0.035344,0.026224,0.037212
51,100,1,0.284154,0.228872,0.028594,0.042601,0.02792,0.036512,0.027627,0.039151
51,100,1,0.011878,0.038989,0.026557,0.039748,0.025041,0.036375,0.025045,0.035654
51,100,1,0.052497,0.097216,0.024993,0.038952,0.026072,0.035672,0.031372,0.037333
51,100,1,0.036414,0.07702,0.04158,0.054615,0.039942,0.054145,0.041093,0.05805
51,100,1,0.906319,0.345443,0.024819,0.037431,0.02625,0.035899,0.026284,0.03795
51,100,1,0.119995,0.144027,0.023781,0.037058,0.025758,0.034627,0.026667,0.035558
51,100,1,0.487333,0.274379,0.026936,0.041762,0.027752,0.036443,0.026048,0.035868
51,100,1,0.50232,0.300084,0.031669,0.043194,0.025729,0.03654,0.026492,0.037529
51,100,1,0.216631,0.204894,0.028331,0.037879,0.025597,0.036261,0.027777,0.034489
51,100,1,0.00826,0.033994,0.02551,0.035972,0.025562,0.034859,0.025438,0.035615
51,100,1,0.00871,0.040437,0.025841,0.036283,0.02674,0.034451,0.026526,0.033534
51,100,1,0.170181,0.168192,0.025353,0.037977,0.026514,0.034699,0.027562,0.036709
51,100,1,0.070932,0.113277,0.025359,0.040309,0.026719,0.034062,0.026203,0.036005
51,100,1,0.020452,0.051853,0.040932,0.05704,0.040158,0.056856,0.039952,0.059851
51,100,1,0.03399,0.070828,0.039589,0.057573,0.04041,0.056338,0.041252,0.05599
51,100,1,0.518559,0.282972,0.0262,0.040001,0.028453,0.035303,0.026554,0.042464
51,100,1,0.013403,0.050459,0.032715,0.039212,0.026455,0.036233,0.025535,0.036226
51,100,1,0.54356,0.285827,0.034164,0.050764,0.032054,0.04148,0.02547,0.035934
51,100,1,0.217404,0.229033,0.026032,0.03849,0.037368,0.040934,0.026471,0.039656
51,100,1,0.013076,0.047493,0.028873,0.037163,0.039707,0.052877,0.03958,0.050732
51,100,1,0.013384,0.041834,0.044992,0.048811,0.032711,0.043338,0.032457,0.046808
51,100,1,0.019326,0.055197,0.04254,0.059181,0.043646,0.056852,0.04217,0.057448
51,100,1,0.005969,0.037321,0.02552,0.036857,0.028503,0.03569,0.02572,0.035588
51,100,1,0.03582,0.071264,0.048908,0.065847,0.052433,0.075765,0.039835,0.058644
