Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
21,20,0.002981,0.009205,0.023124,0.011914,0.007446,0.005638,0.00582,0.007205,0.007755,0.020565
21,40,0.00271,0.008481,0.023959,0.011209,0.009228,0.005738,0.005632,0.006892,0.008554,0.019851
21,40,0.002229,0.00921,0.022479,0.01269,0.00775,0.005906,0.009089,0.014176,0.01373,0.027646
21,40,0.003775,0.010732,0.031454,0.008462,0.014117,0.010529,0.010468,0.008885,0.014408,0.025808
21,40,0.003815,0.011259,0.02179,0.006829,0.006433,0.006593,0.01298,0.009901,0.012397,0.028658
21,40,0.00546,0.014328,0.033676,0.008351,0.013558,0.014355,0.013972,0.008024,0.009432,0.023691
21,40,0.002073,0.010763,0.024217,0.010122,0.007587,0.005935,0.0061,0.007118,0.005461,0.023185
21,40,0.00558,0.007402,0.022218,0.006873,0.005891,0.00594,0.007194,0.015328,0.009209,0.022019
21,40,0.003918,0.006766,0.022138,0.010219,0.011736,0.008665,0.006154,0.007075,0.008467,0.019251
21,40,0.002417,0.009042,0.02166,0.010185,0.010515,0.005758,0.006012,0.007404,0.006329,0.019602
21,40,0.002659,0.009796,0.02334,0.012857,0.008456,0.00561,0.005629,0.006977,0.009384,0.020533
21,60,0.002531,0.010369,0.026069,0.010408,0.007731,0.005926,0.005572,0.006917,0.007242,0.024092
21,60,0.00365,0.00997,0.027397,0.012287,0.008608,0.009953,0.010649,0.015372,0.008571,0.023383
21,60,0.003908,0.010763,0.019329,0.010554,0.010106,0.011513,0.009947,0.010411,0.006655,0.019936
21,60,0.003851,0.008542,0.022785,0.007264,0.006855,0.010002,0.010886,0.009717,0.009433,0.023031
21,60,0.003615,0.009835,0.020857,0.009294,0.007657,0.006059,0.009587,0.010036,0.007311,0.022024
21,60,0.002228,0.007116,0.022249,0.009789,0.0074,0.008248,0.009065,0.010443,0.010679,0.022494
21,60,0.004063,0.010065,0.025076,0.012709,0.00683,0.005891,0.005928,0.014853,0.00977,0.022816
21,60,0.005583,0.010271,0.028426,0.007513,0.009183,0.007286,0.011544,0.009189,0.011458,0.023036
21,60,0.002627,0.010137,0.030153,0.008423,0.005644,0.006156,0.013411,0.010606,0.011824,0.023844
21,60,0.002711,0.012294,0.019709,0.00997,0.010342,0.011755,0.008586,0.014823,0.005454,0.024469
21,80,0.00603,0.010053,0.025987,0.010805,0.010928,0.014748,0.011614,0.01557,0.010067,0.022367
21,80,0.00201,0.0099,0.024275,0.010487,0.007522,0.005749,0.006609,0.008005,0.005605,0.023394
21,80,0.005854,0.007295,0.027478,0.007773,0.005318,0.005142,0.005684,0.016545,0.005456,0.02523
21,80,0.003495,0.01066,0.020843,0.006339,0.00547,0.014586,0.010228,0.011792,0.008748,0.021596
21,80,0.003115,0.008329,0.019878,0.007089,0.011409,0.007949,0.011868,0.010215,0.009706,0.020934
21,80,0.004369,0.008963,0.019614,0.010399,0.009294,0.006552,0.008108,0.007638,0.00801,0.023603
21,80,0.006144,0.008045,0.02275,0.007582,0.006042,0.005186,0.0056,0.013861,0.006514,0.02449
21,80,0.002188,0.010874,0.021887,0.00639,0.005351,0.011427,0.005379,0.014402,0.005113,0.025023
21,80,0.00449,0.009961,0.020105,0.006535,0.005366,0.013469,0.009066,0.014057,0.009806,0.022319
21,80,0.003205,0.007212,0.021633,0.013636,0.012598,0.008376,0.006091,0.007207,0.005807,0.024712
21,100,0.005715,0.006489,0.02256,0.008269,0.007306,0.00554,0.008708,0.007231,0.008924,0.019863
21,100,0.002414,0.008509,0.021297,0.008302,0.006548,0.006284,0.009721,0.006848,0.008175,0.020509
21,100,0.003143,0.008849,0.021101,0.010054,0.006041,0.005888,0.005743,0.006871,0.006705,0.021118
21,100,0.002409,0.008045,0.017331,0.007139,0.00786,0.005936,0.008151,0.013659,0.005379,0.024505
21,100,0.004116,0.01049,0.019441,0.006572,0.005437,0.011458,0.007214,0.015776,0.006998,0.022958
21,100,0.002339,0.010061,0.014577,0.00611,0.005395,0.008585,0.008809,0.007487,0.011057,0.021246
21,100,0.002368,0.007424,0.012118,0.010156,0.010656,0.006171,0.005307,0.011802,0.005666,0.02299
21,100,0.004403,0.008492,0.022187,0.007663,0.00555,0.005352,0.007081,0.007616,0.008887,0.020823
21,100,0.002535,0.008362,0.023866,0.01137,0.010514,0.007118,0.005454,0.012627,0.005524,0.023391
21,100,0.004414,0.008256,0.017624,0.00699,0.006169,0.005672,0.007815,0.013362,0.005593,0.024203
31,0,0.003874,0.018902,0.041577,0.015444,0.010128,0.020481,0.01466,0.021087,0.010035,0.028793
31,0,0.005995,0.015347,0.041285,0.012935,0.013509,0.01833,0.014178,0.015768,0.01014,0.032089
31,0,0.008188,0.013173,0.034931,0.016582,0.016048,0.013106,0.011724,0.017565,0.020329,0.031057
31,0,0.005243,0.019114,0.035376,0.014665,0.01254,0.017385,0.012075,0.018248,0.010535,0.032514
31,0,0.003549,0.016102,0.041676,0.013491,0.012617,0.018348,0.014616,0.021188,0.015789,0.030029
31,0,0.002113,0.01833,0.038179,0.016461,0.015978,0.010587,0.015596,0.018493,0.010405,0.031323
31,0,0.004013,0.018551,0.040546,0.015895,0.011551,0.019914,0.01302,0.022677,0.017022,0.029911
31,0,0.004015,0.016497,0.033306,0.019963,0.014925,0.016268,0.016849,0.019972,0.011291,0.03626
31,0,0.006103,0.018253,0.041126,0.017887,0.01606,0.017498,0.009786,0.024583,0.018779,0.034268
31,0,0.002836,0.018864,0.042947,0.01652,0.012164,0.01634,0.021007,0.017373,0.016039,0.033439
31,20,0.004001,0.020178,0.04276,0.020953,0.011951,0.018408,0.0265,0.022162,0.017154,0.034784
31,20,0.003809,0.016828,0.040382,0.014071,0.014275,0.016436,0.014732,0.015935,0.017034,0.029208
31,20,0.005465,0.01471,0.040896,0.018627,0.019589,0.019058,0.012396,0.022182,0.015445,0.028487
31,20,0.002624,0.022394,0.033901,0.017315,0.017415,0.019604,0.015479,0.020898,0.016756,0.034761
31,20,0.004826,0.02048,0.04212,0.015333,0.011138,0.019063,0.015896,0.021414,0.016682,0.032862
31,20,0.003816,0.019493,0.038966,0.013547,0.015113,0.019569,0.016072,0.02073,0.017017,0.030871
31,20,0.003867,0.017102,0.04445,0.015459,0.015149,0.021252,0.014125,0.022428,0.015876,0.031907
31,20,0.00264,0.021322,0.03757,0.022644,0.014503,0.017806,0.013628,0.021507,0.015545,0.030747
31,20,0.003849,0.017384,0.041265,0.019037,0.015816,0.019307,0.013218,0.021188,0.014685,0.028676
31,20,0.002347,0.020132,0.037968,0.016481,0.014412,0.019213,0.012526,0.023934,0.01871,0.03095
31,40,0.002579,0.020752,0.041398,0.015458,0.0119,0.019026,0.012283,0.017916,0.015912,0.032966
31,40,0.003447,0.020729,0.048068,0.021753,0.012375,0.018693,0.013749,0.025483,0.016882,0.035506
31,40,0.008873,0.017055,0.043896,0.014153,0.011923,0.020303,0.010307,0.02289,0.016456,0.032708
31,40,0.007923,0.018802,0.034407,0.017577,0.016809,0.018236,0.013939,0.017446,0.014079,0.032002
31,40,0.008641,0.018072,0.042474,0.016989,0.014455,0.017679,0.017507,0.019439,0.017896,0.033742
31,40,0.003993,0.02132,0.039085,0.015932,0.015129,0.017423,0.01622,0.018529,0.019278,0.034763
31,40,0.004189,0.018704,0.040957,0.017353,0.014046,0.016844,0.010873,0.023369,0.017115,0.032452
31,40,0.002389,0.020071,0.042305,0.014045,0.016903,0.022143,0.009986,0.023186,0.016948,0.033871
31,40,0.004144,0.019625,0.038159,0.018508,0.012646,0.021378,0.011711,0.02561,0.016169,0.03658
31,40,0.006045,0.016028,0.041526,0.016117,0.011937,0.019058,0.010771,0.022638,0.018431,0.034849
31,60,0.005059,0.023018,0.038629,0.019048,0.013061,0.021617,0.020485,0.017932,0.018164,0.043858
31,60,0.003287,0.020356,0.038955,0.019062,0.016291,0.014898,0.017163,0.018964,0.013271,0.031915
