Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
101,100,2,600,0.014973,0.277997,0.674158,0.167093,0.686787,0.165757,0.138986,0.262294,0.140053,0.263501,0.13912,0.252671,0.141649,0.252615,0.139346,0.264957,0.140075,0.264803
1,100,2,600,0.015362,0.000299,0.007587,0.000273,0.006605,0.000365,0.005758,0.001557,0.005316,0.000871,0.006338,0.000338,0.005471,0.000291,0.00567,0.001819,0.005123,0.000995
21,100,2,600,0.353804,0.065117,0.040975,0.008402,0.041127,0.009365,0.010036,0.009683,0.009572,0.010876,0.008901,0.00992,0.010102,0.007603,0.009915,0.009711,0.010647,0.009143
41,100,2,600,0.295431,0.203261,0.132174,0.02947,0.124136,0.030064,0.021811,0.03274,0.021166,0.030687,0.021273,0.028396,0.022455,0.029878,0.021539,0.032737,0.020961,0.031569
61,100,2,600,0.301177,0.418139,0.205265,0.062262,0.191513,0.06188,0.039357,0.066528,0.03999,0.064125,0.038795,0.060864,0.03961,0.061076,0.038872,0.065626,0.038746,0.064417
81,100,2,600,0.309457,0.721302,0.266281,0.105331,0.244639,0.107632,0.062968,0.111316,0.063236,0.111247,0.062577,0.105721,0.063772,0.105695,0.06286,0.111983,0.062925,0.111183
101,100,2,600,0.355662,1.2008,0.395856,0.16682,0.393358,0.165592,0.094338,0.171774,0.093635,0.172256,0.093737,0.164339,0.094878,0.163612,0.094503,0.173014,0.093973,0.171738
1,100,2,600,0.01488,0.000309,0.005245,0.00028,0.0057,0.000285,0.005475,0.000479,0.004975,0.000359,0.00569,0.000435,0.005026,0.00027,0.004858,0.000444,0.005958,0.00053
21,100,2,600,0.119031,0.040694,0.024683,0.008334,0.022585,0.00949,0.010292,0.009583,0.009723,0.009705,0.009291,0.008926,0.009772,0.007922,0.009657,0.009751,0.010521,0.00888
41,100,2,600,0.101411,0.136137,0.094953,0.031311,0.093172,0.029739,0.021159,0.032028,0.022159,0.032436,0.02116,0.029734,0.021853,0.028973,0.020763,0.031912,0.021851,0.030973
61,100,2,600,0.108402,0.283337,0.167703,0.061977,0.150296,0.062097,0.039659,0.065692,0.038843,0.064845,0.039653,0.061751,0.039524,0.061352,0.038844,0.066436,0.038906,0.064719
81,100,2,600,0.11263,0.479829,0.226082,0.10752,0.218096,0.107233,0.063892,0.112468,0.063355,0.111523,0.063821,0.106425,0.064068,0.107038,0.063673,0.113715,0.06283,0.111856
101,100,2,600,0.108782,0.736038,0.320507,0.165871,0.327891,0.164874,0.093466,0.171864,0.093111,0.169999,0.092391,0.162663,0.093271,0.162014,0.092357,0.170222,0.093208,0.170272
1,100,2,600,0.013362,0.000435,0.003584,0.000219,0.002803,0.000198,0.002744,0.000882,0.003718,0.00047,0.003099,0.000206,0.0027,0.000176,0.002804,0.000624,0.004285,0.000489
21,100,2,600,0.013907,0.014708,0.05445,0.008468,0.054181,0.008296,0.008339,0.009576,0.008324,0.008258,0.008978,0.007804,0.008881,0.007701,0.008626,0.008672,0.009521,0.009458
41,100,2,600,0.016076,0.049351,0.148069,0.030002,0.153956,0.029495,0.020214,0.030327,0.021684,0.030123,0.021184,0.029641,0.021055,0.028675,0.020226,0.030557,0.020061,0.031023
61,100,2,600,0.016474,0.10352,0.26978,0.063021,0.292934,0.061086,0.03813,0.064046,0.038146,0.063659,0.03788,0.062501,0.038964,0.061197,0.037902,0.064321,0.038043,0.063763
81,100,2,600,0.01435,0.181653,0.396267,0.109156,0.392651,0.108917,0.062357,0.10998,0.063269,0.110651,0.061862,0.105784,0.067065,0.112709,0.062788,0.111617,0.062868,0.112615
101,100,2,600,0.014446,0.276912,0.629075,0.167461,0.627477,0.166846,0.093163,0.170168,0.093513,0.170643,0.093082,0.163079,0.094484,0.163573,0.093406,0.171163,0.093129,0.171617
1,100,2,600,0.025728,0.000409,0.004329,0.000173,0.00497,0.000178,0.006875,0.000325,0.01008,0.000455,0.009097,0.000353,0.008897,0.000378,0.006958,0.000335,0.007511,0.00032
21,100,2,600,0.077073,0.034881,0.034277,0.008224,0.032986,0.008424,0.009857,0.010582,0.009834,0.008927,0.009787,0.007673,0.011359,0.007977,0.009323,0.010433,0.009538,0.008736
41,100,2,600,0.104302,0.132976,0.106131,0.029537,0.107197,0.029587,0.021566,0.031681,0.021539,0.031052,0.022214,0.029868,0.022761,0.0291,0.021543,0.031871,0.021598,0.030786
61,100,2,600,0.081944,0.247362,0.139366,0.06276,0.134028,0.062386,0.039715,0.065227,0.039532,0.064604,0.039514,0.064212,0.040104,0.061889,0.039391,0.0658,0.039199,0.064742
81,100,2,600,0.100847,0.480048,0.257001,0.107977,0.262294,0.107545,0.064123,0.113335,0.064292,0.111885,0.063721,0.106188,0.064513,0.107415,0.063884,0.11284,0.064293,0.111479
101,100,2,600,0.102852,0.738086,0.424614,0.165328,0.424221,0.164167,0.093657,0.170947,0.093927,0.170533,0.09395,0.162042,0.094473,0.162914,0.093836,0.170895,0.093754,0.170313
1,100,2,600,0.015728,0.000322,0.003054,0.000174,0.002927,0.000198,0.00383,0.001002,0.003047,0.000502,0.002962,0.000165,0.002928,0.000171,0.00371,0.00226,0.003184,0.000585
21,100,2,600,0.027298,0.019723,0.049005,0.008966,0.048982,0.009029,0.008681,0.009623,0.00848,0.008281,0.009796,0.007733,0.009524,0.008927,0.008587,0.00869,0.00963,0.008379
41,100,2,600,0.025855,0.07147,0.19463,0.031192,0.174796,0.030085,0.020859,0.03147,0.020514,0.031613,0.021036,0.028694,0.021847,0.029063,0.020874,0.03136,0.020468,0.031779
61,100,2,600,0.029076,0.138811,0.275306,0.063511,0.276464,0.064126,0.038252,0.064428,0.038235,0.064446,0.038824,0.061223,0.039105,0.060859,0.038448,0.064701,0.038202,0.064058
81,100,2,600,0.027978,0.239796,0.442495,0.109158,0.434191,0.109098,0.062745,0.111287,0.062916,0.110822,0.062857,0.106153,0.063523,0.106128,0.062846,0.111146,0.062742,0.110659
101,100,2,600,0.027347,0.368213,0.653053,0.166809,0.630402,0.166287,0.094327,0.170881,0.093745,0.171852,0.093523,0.159419,0.094136,0.163642,0.093347,0.162481,0.093585,0.171415
1,100,2,600,0.025557,0.000501,0.003879,0.000179,0.003781,0.000176,0.007016,0.000703,0.006486,0.000465,0.009807,0.000343,0.006413,0.000241,0.009889,0.000809,0.006278,0.00044
21,100,2,600,0.144924,0.042013,0.024936,0.007984,0.026406,0.008603,0.01006,0.010055,0.009506,0.008895,0.01005,0.007762,0.014161,0.007852,0.008889,0.010701,0.009007,0.010801
41,100,2,600,0.144316,0.15045,0.095988,0.030041,0.088965,0.029641,0.021967,0.032324,0.021759,0.031308,0.021331,0.029154,0.021927,0.029187,0.021139,0.031659,0.021545,0.031183
61,100,2,600,0.189249,0.35061,0.133866,0.062716,0.14471,0.062617,0.039529,0.066497,0.039542,0.065285,0.039223,0.061955,0.039756,0.0617,0.039199,0.0663,0.039047,0.065079
81,100,2,600,0.150675,0.538839,0.262325,0.107239,0.243555,0.107719,0.063073,0.113392,0.063567,0.112147,0.062658,0.105416,0.063431,0.105883,0.062442,0.112718,0.062248,0.111366
101,100,2,600,0.179176,0.912772,0.323313,0.163597,0.347056,0.162866,0.09338,0.17176,0.093083,0.169844,0.09279,0.162114,0.093601,0.161541,0.09254,0.173769,0.09172,0.161062
1,100,2,600,0.026858,0.000469,0.004157,0.000217,0.003961,0.000196,0.009391,0.002045,0.006343,0.00076,0.009828,0.000358,0.007189,0.000259,0.008061,0.001663,0.006966,0.000862
21,100,2,600,0.282485,0.059879,0.033463,0.009348,0.032239,0.009258,0.009999,0.009886,0.010323,0.009404,0.008722,0.008834,0.010169,0.00759,0.009405,0.009911,0.010474,0.009004
41,100,2,600,0.35896,0.220647,0.101218,0.031202,0.104476,0.03097,0.021667,0.032623,0.021723,0.031504,0.021419,0.029019,0.022159,0.029097,0.021034,0.033267,0.021474,0.031273
61,100,2,600,0.292432,0.419788,0.189588,0.062358,0.189525,0.061887,0.039821,0.066588,0.039602,0.065588,0.039088,0.061159,0.039682,0.061096,0.039129,0.067396,0.039391,0.066201
81,100,2,600,0.345856,0.789935,0.255669,0.107625,0.255684,0.108068,0.063772,0.113239,0.062842,0.111928,0.062594,0.105378,0.063351,0.106296,0.061421,0.10833,0.063242,0.112805
101,100,2,600,0.282738,1.09665,0.349285,0.164404,0.381901,0.16438,0.09431,0.172601,0.093454,0.170757,0.093792,0.163187,0.093459,0.163012,0.093134,0.172225,0.094044,0.169576
1,100,2,600,0.013421,0.000429,0.003735,0.000204,0.003114,0.000201,0.004277,0.000672,0.003128,0.000407,0.003002,0.000168,0.003011,0.000165,0.004623,0.000922,0.003138,0.000447
21,100,2,600,0.01612,0.013757,0.053761,0.008839,0.056089,0.008413,0.009326,0.00873,0.008918,0.009355,0.008373,0.00846,0.010097,0.007703,0.010429,0.009876,0.008358,0.010063
41,100,2,600,0.014774,0.050954,0.174712,0.029021,0.164724,0.028945,0.021252,0.031309,0.021452,0.032402,0.020615,0.029512,0.021443,0.028784,0.020515,0.031393,0.020975,0.030977
61,100,2,600,0.015228,0.106762,0.26484,0.06276,0.248296,0.061993,0.039428,0.06567,0.03896,0.065188,0.039074,0.062008,0.039912,0.061552,0.038957,0.065362,0.038834,0.064829
81,100,2,600,0.01573,0.182747,0.406939,0.110494,0.407203,0.109557,0.063724,0.111481,0.06339,0.110727,0.062465,0.10623,0.06417,0.105867,0.062881,0.111423,0.063424,0.11177
101,100,2,600,0.016039,0.275486,0.546118,0.165055,0.545451,0.16613,0.093493,0.169876,0.093561,0.170004,0.092967,0.162684,0.093762,0.162463,0.093646,0.169555,0.093135,0.169989
1,100,2,600,0.013841,0.000309,0.006867,0.00029,0.005821,0.00028,0.004508,0.001678,0.005659,0.00098,0.004388,0.000226,0.00603,0.000298,0.004851,0.001695,0.004473,0.00101
21,100,2,600,0.491445,0.072377,0.025156,0.008302,0.025027,0.007719,0.010615,0.010155,0.009995,0.009754,0.008954,0.007635,0.011465,0.007791,0.009259,0.010801,0.009132,0.010726
41,100,2,600,0.564005,0.27113,0.096412,0.029359,0.106031,0.029061,0.021813,0.032511,0.021715,0.032549,0.021246,0.028706,0.022872,0.029416,0.021684,0.033551,0.021127,0.031971
61,100,2,600,0.481059,0.528516,0.151938,0.06193,0.161951,0.06343,0.039683,0.066325,0.039786,0.065329,0.039304,0.061823,0.040645,0.061547,0.039103,0.066908,0.039283,0.066617
81,100,2,600,0.576691,0.964229,0.229781,0.108202,0.228075,0.108595,0.064891,0.113921,0.063889,0.112885,0.063999,0.106566,0.064758,0.106549,0.063765,0.11377,0.063728,0.112956
101,100,2,600,0.597863,1.47072,0.296134,0.165373,0.312297,0.164215,0.094396,0.173128,0.094083,0.173118,0.094676,0.162735,0.09398,0.162046,0.092625,0.171135,0.093045,0.170234
1,100,2,600,0.02591,0.000451,0.005751,0.000224,0.004225,0.00018,0.007501,0.001784,0.006366,0.000849,0.009643,0.000503,0.006652,0.00024,0.008634,0.002176,0.005913,0.000875
21,100,2,600,0.458267,0.071186,0.033612,0.00968,0.03242,0.009318,0.010177,0.009723,0.010467,0.010959,0.00961,0.008804,0.010109,0.007588,0.009796,0.009959,0.009159,0.009768
41,100,2,600,0.356654,0.224497,0.153128,0.030238,0.149504,0.030431,0.023483,0.033148,0.021392,0.031284,0.021235,0.029821,0.022235,0.029704,0.021305,0.032154,0.021508,0.031194
61,100,2,600,0.341861,0.45906,0.193208,0.062167,0.191395,0.061676,0.039279,0.066833,0.039078,0.064486,0.038933,0.063142,0.039832,0.060807,0.038889,0.065281,0.039045,0.064245
81,100,2,600,0.375622,0.781941,0.258622,0.108166,0.25889,0.108144,0.063863,0.112613,0.063212,0.110659,0.062837,0.105325,0.06364,0.105626,0.063728,0.112682,0.063039,0.110895
101,100,2,600,0.360857,1.19119,0.380755,0.16426,0.37477,0.16397,0.093014,0.171624,0.092782,0.170988,0.095289,0.162382,0.09359,0.161702,0.092964,0.173232,0.093135,0.169264
1,100,2,600,0.02677,0.000556,0.005329,0.000213,0.004882,0.000208,0.006993,0.001207,0.008073,0.000852,0.009385,0.000445,0.007656,0.000333,0.008264,0.001835,0.00663,0.000774
